file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2007_000042_AdvPatch_0.005.png",0.18464544,0.0,5.3294415,0.016961776,0.79140455,0.53448975,0.32057256,0.32856053,0.16716789,0.53913957
"2007_000042_AdvPatch_0.01.png",0.18423818,0.0,5.349531,0.016885504,0.7911951,0.53355503,0.32025588,0.32825026,0.16724657,0.539136
"2007_000042_AdvPatch_0.02.png",0.18349317,0.0,5.348879,0.016714472,0.79049385,0.5325514,0.3210729,0.32917133,0.1663204,0.5406135
"2007_000170_AdvPatch_0.005.png",0.27756804,0.07431717,6.5745916,0.024898773,0.8007174,0.58733284,0.3170639,0.32517925,0.18155609,0.52745646
"2007_000170_AdvPatch_0.01.png",0.2752102,0.06947847,6.562649,0.024096219,0.79985666,0.5853002,0.31812888,0.32612398,0.18069465,0.5291048
"2007_000170_AdvPatch_0.02.png",0.27137384,0.06297223,6.541728,0.024133258,0.8004201,0.5831839,0.31766436,0.3259728,0.1805572,0.5291377
"2007_000250_AdvPatch_0.005.png",0.42572278,0.3038234,10.837694,0.020889536,0.82205296,0.59753674,0.30869237,0.31565794,0.21742047,0.57075626
"2007_000250_AdvPatch_0.01.png",0.427389,0.30394945,10.857588,0.020979382,0.82141036,0.5945443,0.31003842,0.3172774,0.21615596,0.5731609
"2007_000250_AdvPatch_0.02.png",0.41751695,0.3004628,10.753831,0.01846427,0.8213656,0.58878803,0.3087364,0.31604004,0.21609451,0.5756517
"2007_000346_AdvPatch_0.005.png",0.23109154,0.13238719,10.486684,0.013587141,0.78684,0.48792213,0.3095019,0.31737766,0.19798908,0.5816848
"2007_000346_AdvPatch_0.01.png",0.23049973,0.13165149,10.43817,0.013810056,0.7864403,0.48649842,0.30995932,0.31785488,0.19777133,0.58417535
"2007_000346_AdvPatch_0.02.png",0.23025638,0.14108926,10.4274,0.013760387,0.7890293,0.49029586,0.30887094,0.31670302,0.20100878,0.58219135
"2007_000549_AdvPatch_0.005.png",0.22547874,0.13533917,9.838205,0.014782336,0.80049443,0.5305156,0.3033598,0.30960676,0.19059752,0.59765726
"2007_000549_AdvPatch_0.01.png",0.2197082,0.12700193,9.71114,0.01425556,0.7986829,0.529194,0.30377278,0.3103045,0.18929689,0.59899783
"2007_000549_AdvPatch_0.02.png",0.21541318,0.12468712,9.977087,0.0138406735,0.7955734,0.52480996,0.30388632,0.31037143,0.18936548,0.5999633
"2007_000876_AdvPatch_0.005.png",0.31161737,0.0,7.812829,0.020567533,0.8277609,0.6277983,0.2616631,0.27445275,0.22305478,0.53769743
"2007_000876_AdvPatch_0.01.png",0.30889124,0.0,7.853844,0.020347316,0.8289219,0.63116056,0.25900605,0.2720296,0.22625595,0.533922
"2007_000876_AdvPatch_0.02.png",0.30598783,0.0,7.7925577,0.01993953,0.82809716,0.6296059,0.2588744,0.27208677,0.22658525,0.5350859
"2007_002088_AdvPatch_0.005.png",0.18669125,0.13515863,9.701634,0.012424859,0.82994145,0.5929855,0.2566157,0.26925758,0.22212037,0.51741064
"2007_002088_AdvPatch_0.01.png",0.18273507,0.1318737,9.627023,0.011930195,0.8294791,0.5905252,0.2576255,0.2705289,0.22110029,0.5193566
"2007_002088_AdvPatch_0.02.png",0.18463473,0.1348036,9.825342,0.012137724,0.826652,0.5931311,0.25635058,0.26944575,0.22214021,0.5165305
