file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2007_000042_BIM_(0.05, 0.0025).png",0.9501667,0.9899556,38.199467,0.76263314,0.9975986,0.9920466,0.013623843,0.015533745,0.9670737,0.19702627
"2007_000042_BIM_(0.05, 0.005).png",0.9110942,0.9813837,35.633457,0.68902165,0.99563986,0.9859326,0.024447598,0.026937163,0.9464118,0.22993428
"2007_000042_BIM_(0.1, 0.005).png",0.8535229,0.968167,32.89961,0.6022761,0.9920875,0.975154,0.04117428,0.043940406,0.90985864,0.2674361
"2007_000042_BIM_(0.1, 0.01).png",0.77353233,0.9465146,30.309793,0.51872456,0.9858013,0.9597268,0.06292343,0.065475635,0.8628013,0.3056888
"2007_000042_BIM_(0.2, 0.01).png",0.6711573,0.91385067,27.461939,0.42664227,0.97501177,0.93384194,0.09530129,0.09613777,0.7902627,0.35116422
"2007_000042_BIM_(0.2, 0.02).png",0.5543771,0.8653867,24.525406,0.34039357,0.9570731,0.8944643,0.13647643,0.13339238,0.6978596,0.40047762
"2007_000042_BIM_(0.3, 0.015).png",0.5381925,0.8584499,24.088547,0.32706136,0.9546196,0.89122367,0.14065091,0.1379074,0.6873821,0.40534192
"2007_000042_BIM_(0.3, 0.03).png",0.42835683,0.7967992,21.222914,0.2486997,0.9236648,0.8346783,0.18942316,0.18033329,0.58311826,0.4590568
"2007_000170_BIM_(0.05, 0.0025).png",0.93158805,0.98246384,38.390858,0.6665019,0.9974907,0.99024403,0.016367072,0.017686367,0.9588721,0.20931862
"2007_000170_BIM_(0.05, 0.005).png",0.87767446,0.9682624,35.757347,0.5690817,0.99580574,0.9833292,0.027005903,0.029384842,0.93463975,0.24133192
"2007_000170_BIM_(0.1, 0.005).png",0.79967177,0.9447857,32.98141,0.46549946,0.9921325,0.9703372,0.045981225,0.048524186,0.8880845,0.28107706
"2007_000170_BIM_(0.1, 0.01).png",0.69511414,0.9072865,30.382915,0.37566856,0.9862675,0.95091766,0.0717779,0.07341339,0.8293554,0.32436937
"2007_000170_BIM_(0.2, 0.01).png",0.5651373,0.85152304,27.505146,0.2853997,0.9745004,0.91940725,0.10863353,0.107975125,0.73633355,0.37361312
"2007_000170_BIM_(0.2, 0.02).png",0.42429352,0.7675117,24.557531,0.20762148,0.9540809,0.8666796,0.1606608,0.15398681,0.62524515,0.4342313
"2007_000170_BIM_(0.3, 0.015).png",0.40231776,0.75389993,24.057098,0.19517249,0.9495914,0.8548468,0.1679739,0.16080798,0.60619855,0.44269344
"2007_000170_BIM_(0.3, 0.03).png",0.289613,0.65710914,21.307571,0.135531,0.91793585,0.78907186,0.21568343,0.20361422,0.49436313,0.4991294
"2007_000250_BIM_(0.05, 0.0025).png",0.923922,0.98020184,38.400745,0.614678,0.99739623,0.9866888,0.016708966,0.018653326,0.9592074,0.21125841
"2007_000250_BIM_(0.05, 0.005).png",0.8626353,0.96306086,35.7387,0.5162681,0.9954576,0.9774897,0.0291624,0.032171197,0.93357074,0.24760532
"2007_000250_BIM_(0.1, 0.005).png",0.77561015,0.9356642,32.917057,0.41223034,0.9915491,0.95909613,0.051868442,0.054613557,0.88573587,0.291817
"2007_000250_BIM_(0.1, 0.01).png",0.6627843,0.8923964,30.29618,0.3286738,0.9847482,0.9309646,0.082151026,0.082938895,0.8208594,0.3399326
"2007_000250_BIM_(0.2, 0.01).png",0.52564543,0.82750577,27.32888,0.24454145,0.9717283,0.8849799,0.12868778,0.12459792,0.723201,0.39785418
"2007_000250_BIM_(0.2, 0.02).png",0.38248926,0.73481,24.227608,0.17410213,0.94808143,0.8186621,0.1835249,0.1727965,0.6052272,0.45892185
