file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2007_000042_CW_(30, 0.01, 100).png",0.99951345,0.9997284,50.223255,0.997117,0.99996656,0.99992186,0.000102986625,0.00013266502,0.9990518,0.07527319
"2007_000042_CW_(30, 0.01, 50).png",0.99951345,0.9997284,50.22325,0.9971171,0.99996656,0.99992186,0.000102986574,0.00013266505,0.99905,0.07527328
"2007_000042_CW_(30, 0.03, 50).png",0.9987975,0.99937433,48.118267,0.9807635,0.9999079,0.9997096,0.0006732025,0.00078588026,0.99807274,0.0930899
"2007_000042_CW_(30, 0.06, 50).png",0.9973957,0.9986803,45.608784,0.9504984,0.9997695,0.99921596,0.0016997395,0.002008657,0.9959923,0.11436099
"2007_000042_CW_(30, 0.1, 50).png",0.9937389,0.99687344,42.35811,0.8980106,0.99945474,0.99812317,0.0042023463,0.0048958836,0.99107975,0.14217965
"2007_000042_CW_(30, 0.2, 50).png",0.97836566,0.9892556,37.02632,0.77193475,0.99801576,0.99333924,0.014418546,0.016228909,0.9704019,0.1962169
"2007_000042_CW_(30, 0.3, 50).png",0.9556933,0.97793293,33.64554,0.6716972,0.9956682,0.9860767,0.028194275,0.030933589,0.94119585,0.23665495
"2007_000042_CW_(30, 0.4, 50).png",0.92887163,0.9642957,31.198273,0.593492,0.9924151,0.97668535,0.04399591,0.047214597,0.90704584,0.26981828
"2007_000042_CW_(30, 0.5, 50).png",0.9001365,0.9493261,29.284971,0.5309854,0.9883269,0.96570027,0.060831726,0.063947,0.8700824,0.29834807
"2007_000042_CW_(30, 0.6, 50).png",0.87099296,0.9337174,27.715794,0.4796806,0.98350817,0.9535449,0.07772683,0.08030279,0.83315533,0.32340014
"2007_000042_CW_(30, 0.7, 50).png",0.8421957,0.917845,26.38517,0.4367179,0.9780786,0.94054544,0.094254754,0.09601979,0.7970972,0.3457636
"2007_000170_CW_(30, 0.01, 100).png",0.99914235,0.9995188,50.817596,0.99723893,0.9999728,0.9999298,6.489768e-05,9.592929e-05,0.99905384,0.07740654
"2007_000170_CW_(30, 0.01, 50).png",0.9991398,0.9995172,50.801468,0.9971234,0.99997246,0.999929,6.502905e-05,9.7372336e-05,0.99904585,0.07742049
"2007_000170_CW_(30, 0.03, 50).png",0.9982352,0.9990428,48.9411,0.97469884,0.99988496,0.99964803,0.000789742,0.00086578313,0.99755305,0.098498695
