file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2007_000042_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
"2007_000170_DeepFool_60.png",1.0,1.0,79.98305,1.0000004,1.0,1.0,2.3908737e-07,5.035724e-07,1.0000002,0.0051036957
"2007_000250_DeepFool_60.png",0.99999976,1.0,79.85797,0.99999994,1.0,0.9999999,2.3934667e-06,3.8100575e-06,1.0000002,0.009393855
"2007_000346_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
"2007_000549_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
"2007_000876_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
"2007_002088_DeepFool_60.png",0.99999684,0.99999946,77.13818,0.9999425,0.9999998,0.9999994,5.996072e-06,1.0416616e-05,0.9999945,0.018966615
"2007_002094_DeepFool_60.png",1.0,1.0,79.95774,0.999999,1.0,1.0,5.1353265e-07,1.0765643e-06,1.0000024,0.00580086
"2007_002099_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
"2007_002293_DeepFool_60.png",0.99999994,1.0,79.93259,1.0000054,1.0,1.0,2.7518643e-06,3.7951681e-06,0.9999964,0.008672218
"2007_002344_DeepFool_60.png",1.0,1.0,79.991516,0.9999993,1.0,1.0,7.9857514e-08,2.9165892e-07,1.0000043,0.0037041847
"2007_002400_DeepFool_60.png",0.99999934,0.9999998,79.44283,0.9999912,1.0,0.99999994,3.371101e-06,5.235467e-06,0.99999845,0.011717196
"2007_002597_DeepFool_60.png",0.9999984,0.9999998,77.899895,0.9999612,1.0,0.9999999,4.4336784e-06,9.724123e-06,0.99999845,0.01400945
"2007_002824_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.99999845,0.0
"2007_002852_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
"2007_002953_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000043,0.0
"2007_003118_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
"2007_003137_DeepFool_60.png",0.9996774,0.9999475,61.09794,0.996606,0.9999827,0.9999586,0.00025494845,0.0003250942,0.99982285,0.062277466
"2007_003191_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
"2007_003251_DeepFool_60.png",0.999948,0.99999005,69.86735,0.9993472,0.9999984,0.99999636,8.337251e-05,0.000105223495,0.99998474,0.040676627
"2007_003349_DeepFool_60.png",0.9999998,1.0,79.80894,0.9999968,0.9999999,1.0,1.1914076e-06,2.1154392e-06,0.99999845,0.008810085
"2007_003431_DeepFool_60.png",0.9999979,0.9999997,78.68399,0.99996114,0.9999998,0.9999994,6.8348504e-06,1.1206883e-05,1.0000002,0.01473775
"2007_003580_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
"2007_003715_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
"2007_004065_DeepFool_60.png",0.9999986,0.9999998,79.28873,0.99998355,0.9999999,0.9999997,4.3008995e-06,7.38969e-06,0.99999845,0.012743048
"2007_004092_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
"2007_004707_DeepFool_60.png",0.9999998,1.0,79.91589,0.99999875,1.0,1.0,1.5819458e-06,2.29733e-06,1.0000024,0.008322536
"2007_004856_DeepFool_60.png",0.9999998,1.0,79.92423,0.9999971,1.0,1.0,1.1265897e-06,2.4378605e-06,1.0000043,0.0073207077
"2007_004948_DeepFool_60.png",0.9999969,0.99999934,78.31729,0.999974,0.99999994,0.9999997,1.5500751e-05,1.9288302e-05,1.0000002,0.021235222
"2007_005264_DeepFool_60.png",0.9999973,0.99999946,78.076225,0.9999278,1.0,0.9999997,9.05598e-06,1.3972701e-05,1.0000002,0.01709626
"2007_005368_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000043,0.0
"2007_005688_DeepFool_60.png",1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
"2007_005844_DeepFool_60.png",0.99999404,0.999999,76.426476,0.9998853,0.99999976,0.99999934,1.2687787e-05,2.1567559e-05,0.99999845,0.022281352
