file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2007_000042_GAP_(i, u, 10).png",0.73308676,0.9457261,29.833271,0.48788735,0.9992568,0.9963704,0.01123887,0.060951367,0.81474906,0.16699755
"2007_000042_GAP_(i, u, 20).png",0.50063497,0.8697536,23.77615,0.333803,0.9976413,0.99025255,0.024783678,0.09510126,0.6891616,0.23811291
"2007_000042_GAP_(i, u, 30).png",0.42552137,0.8672576,20.66678,0.30855852,0.98362046,0.9666047,0.021322485,0.09386742,0.53722674,0.3799351
"2007_000042_GAP_(i, u, 5).png",0.8859447,0.9875557,35.133423,0.6187323,0.99996585,0.99985904,0.0005195575,0.009763097,0.9978691,0.07582896
"2007_000042_GAP_(u, t, 10).png",0.8247938,0.9497327,31.116516,0.5179485,0.98677266,0.9521311,0.07297708,0.07352706,0.837678,0.32072315
"2007_000042_GAP_(u, t, 20).png",0.60350084,0.85004586,24.473951,0.2994464,0.9451411,0.85582626,0.17979403,0.17742467,0.59715813,0.44503337
"2007_000042_GAP_(u, t, 30).png",0.49814308,0.80775183,21.52894,0.24146587,0.93395466,0.81848764,0.2088589,0.20521878,0.518462,0.4781152
"2007_000042_GAP_(u, t, 5).png",0.94241345,0.9864046,36.748478,0.7271342,0.99650663,0.98735386,0.02305804,0.02399767,0.9521205,0.22544445
"2007_000170_GAP_(i, u, 10).png",0.635643,0.9195124,29.625284,0.33393773,0.99937963,0.9984506,0.0034011842,0.06221189,0.77438354,0.13960354
"2007_000170_GAP_(i, u, 20).png",0.35321528,0.7870374,23.549507,0.21765508,0.99723655,0.9870349,0.021900872,0.08845574,0.66119206,0.24965107
"2007_000170_GAP_(i, u, 30).png",0.2793444,0.796642,19.91779,0.21224992,0.97262007,0.95324475,0.022576926,0.08386743,0.39820123,0.39364758
"2007_000170_GAP_(i, u, 5).png",0.8422898,0.9805388,35.096985,0.4867923,0.9999447,0.9998373,0.00042299074,0.010137918,0.9979446,0.07279779
"2007_000170_GAP_(u, t, 10).png",0.75872064,0.90776443,31.13742,0.3747394,0.9869549,0.9398347,0.083176,0.08335748,0.7929097,0.3403269
"2007_000170_GAP_(u, t, 20).png",0.48064607,0.7369815,24.500336,0.17546663,0.9431552,0.81716025,0.19902897,0.1958115,0.5144329,0.47298473
"2007_000170_GAP_(u, t, 30).png",0.3554234,0.66827047,21.513624,0.1319156,0.93087673,0.7666476,0.22631022,0.22280082,0.4294332,0.50809294
"2007_000170_GAP_(u, t, 5).png",0.918237,0.9746747,36.763535,0.6159261,0.99660987,0.9840787,0.02633807,0.027187549,0.94063663,0.23718499
"2007_000250_GAP_(i, u, 10).png",0.59446454,0.9038531,29.404305,0.29669392,0.99951494,0.99720937,0.013718122,0.06474563,0.7558971,0.16703406
