file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
2007_000042_OnePixel_(10, 40).png,0.9992213,0.9998092,50.752506,0.9958608,0.9999021,0.99979955,0.009175651,0.008302827,0.9987602,0.10298383
2007_000042_OnePixel_(100, 50).png,0.9938855,0.99807066,41.893913,0.96809113,0.99947906,0.99903643,0.021048095,0.019193089,0.9961776,0.15837511
2007_000042_OnePixel_(300, 80).png,0.981915,0.9956273,37.493225,0.9082969,0.9986416,0.99656665,0.029590981,0.028695444,0.98635805,0.19294545
2007_000042_OnePixel_(50, 40).png,0.9969339,0.9990095,45.031685,0.98318654,0.9997728,0.99961835,0.015154978,0.013719884,0.9983368,0.13319758
2007_000170_OnePixel_(10, 40).png,0.99903536,0.99970055,50.883354,0.99252576,0.9999466,0.99968505,0.008472251,0.007997376,0.9988652,0.10240989
2007_000170_OnePixel_(100, 50).png,0.99216795,0.9972762,41.634556,0.9505104,0.9995637,0.9985157,0.023937162,0.02208104,0.99442995,0.16852899
2007_000170_OnePixel_(50, 40).png,0.9955444,0.9982766,44.134407,0.9726521,0.99975985,0.99924976,0.016970787,0.015837085,0.9971715,0.14282526
2007_000250_OnePixel_(10, 40).png,0.9992177,0.99980235,54.11405,0.99487364,0.9999486,0.999771,0.0052741203,0.005261165,0.9995734,0.07970828
2007_000250_OnePixel_(100, 50).png,0.99363434,0.9983847,44.032154,0.9543434,0.9996341,0.99860096,0.014127989,0.014283447,0.99498415,0.14131382
2007_000250_OnePixel_(50, 40).png,0.99715126,0.9992818,48.16875,0.9808448,0.9998505,0.99940306,0.007858824,0.00843426,0.99855036,0.11106186
2007_000346_OnePixel_(10, 40).png,0.9995548,0.99987006,54.74844,0.9969385,0.9999753,0.9998641,0.0038248962,0.0037134462,0.9998777,0.074265674
2007_000346_OnePixel_(100, 50).png,0.9945702,0.9987106,43.643143,0.9669487,0.9997032,0.9990899,0.010260764,0.0112518985,0.99687153,0.12846738
2007_000346_OnePixel_(50, 40).png,0.99747455,0.9993695,46.936665,0.9860616,0.9999179,0.9997186,0.0052659195,0.0061831214,0.9985737,0.09937138
2007_000549_OnePixel_(10, 40).png,0.99910396,0.9998138,52.985783,0.9955372,0.9999612,0.99979424,0.007076263,0.0065242797,0.9994958,0.092608586
2007_000549_OnePixel_(100, 50).png,0.99285454,0.9977746,42.61606,0.9595727,0.9995078,0.99869764,0.020816704,0.019082319,0.9957355,0.1608075
2007_000549_OnePixel_(50, 40).png,0.99706316,0.9990479,46.45323,0.9827199,0.99982435,0.9994882,0.012401728,0.011488425,0.9980221,0.12551899
2007_000876_OnePixel_(10, 40).png,0.99880075,0.999628,50.041878,0.99433756,0.99991107,0.9997499,0.00856763,0.008049647,0.9989509,0.100688085
2007_000876_OnePixel_(100, 50).png,0.9923765,0.99794686,42.358803,0.9612753,0.99950624,0.9990026,0.01614032,0.01612202,0.99623924,0.147164
2007_000876_OnePixel_(50, 40).png,0.9960822,0.9989629,44.993126,0.9783491,0.9997439,0.99940926,0.01179699,0.011802585,0.99806297,0.12650183
2007_002088_OnePixel_(10, 40).png,0.9991783,0.9997143,50.238117,0.9949368,0.99993736,0.9999335,0.0048761917,0.0051681804,0.9995249,0.083454736
2007_002088_OnePixel_(100, 50).png,0.9947874,0.9985974,42.473484,0.96992564,0.99964005,0.99914473,0.011751465,0.012086978,0.9967167,0.132704
2007_002088_OnePixel_(50, 40).png,0.99681085,0.9989838,44.519424,0.9812744,0.99963945,0.99940354,0.011298325,0.011438385,0.99807847,0.12065118
2007_002094_OnePixel_(10, 40).png,0.9991953,0.99980927,53.975037,0.9954102,0.9999386,0.99991643,0.003923948,0.003997716,0.99950355,0.072694145
2007_002094_OnePixel_(100, 50).png,0.99211854,0.9976756,43.398033,0.9453119,0.99938846,0.9984485,0.018159911,0.017520478,0.99386716,0.15282434
2007_002094_OnePixel_(50, 40).png,0.995742,0.99861616,45.98636,0.9744454,0.9998052,0.9993079,0.013208629,0.012507141,0.9967844,0.1288927
