file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi,mad
"2007_000042_Square_(2000, 0.005, 0.01).png",0.95184875,0.9903424999999999,38.6035,0.82580334,0.9983069,0.9947434,0.014545259,0.014492679,0.9723864,0.19660702,6.432756349015887
"2007_000042_Square_(2000, 0.005, 0.02).png",0.8833411,0.97512794,34.17086,0.70030916,0.9952353,0.98581326,0.036145974,0.035680506,0.92924035,0.25345245,19.552000098714007
"2007_000042_Square_(2000, 0.005, 0.03).png",0.77131003,0.9453826,30.097864,0.56879306,0.9879073,0.967376,0.07414581599999999,0.07254539,0.8499730999999999,0.31668532,36.92669831761608
"2007_000042_Square_(2000, 0.01, 0.01).png",0.95184875,0.9903424999999999,38.6035,0.82580334,0.9983069,0.9947434,0.014545259,0.014492679,0.9723864,0.19660702,6.432756349015887
"2007_000042_Square_(2000, 0.01, 0.02).png",0.8833411,0.97512794,34.17086,0.70030916,0.9952353,0.98581326,0.036145974,0.035680506,0.92924035,0.25345245,19.552000098714007
"2007_000042_Square_(2000, 0.01, 0.03).png",0.7728014,0.9455925,30.097559000000004,0.57350117,0.98791516,0.96743816,0.073804095,0.07224072,0.8491917,0.31598246,36.36674006327462
"2007_000042_Square_(2000, 0.04, 0.01).png",0.95184875,0.9903424999999999,38.6035,0.82580334,0.9983069,0.9947434,0.014545259,0.014492679,0.9723864,0.19660702,6.432756349015887
"2007_000042_Square_(2000, 0.04, 0.02).png",0.8833411,0.97512794,34.17086,0.70030916,0.9952353,0.98581326,0.036145974,0.035680506,0.92924035,0.25345245,19.552000098714007
"2007_000042_Square_(2000, 0.04, 0.03).png",0.7734999,0.9458681999999999,30.096851,0.5732225999999999,0.98789316,0.96781623,0.07396028,0.072341986,0.8466684000000001,0.31618777,36.30014749733789
"2007_000042_Square_(2000, 0.08, 0.01).png",0.95184875,0.9903424999999999,38.6035,0.82580334,0.9983069,0.9947434,0.014545259,0.014492679,0.9723864,0.19660702,6.432756349015887
"2007_000042_Square_(2000, 0.08, 0.02).png",0.8833411,0.97512805,34.17086,0.70030916,0.9952353,0.98581326,0.036145974,0.035680506,0.92924035,0.25345245,19.552000098714007
"2007_000042_Square_(2000, 0.08, 0.03).png",0.7766299,0.94644034,30.096435999999997,0.5797635,0.987926,0.96787673,0.07394092,0.07223439,0.8426985999999999,0.3159643,36.24546984105773
"2007_000042_Square_(2000, 0.4, 0.03).png",0.81096715,0.9545648000000001,30.099584999999998,0.6462368000000001,0.9902658999999999,0.9730046999999998,0.06670201,0.06620877,0.8469346999999999,0.30267,37.82781290710513
"2007_000042_Square_(2000, 0.4, 0.06).png",0.5626668,0.86873543,24.694193,0.38710934,0.9620837,0.9142427,0.15326361,0.14874256,0.6778385,0.41380772,64.55692949043913
"2007_000042_Square_(2000, 0.4, 0.09).png",0.4282616,0.79462355,21.193031,0.28087986,0.9288194,0.85460705,0.21042009,0.20401369,0.55001515,0.47892177,84.94907932037832
"2007_000042_Square_(2000, 0.4, 0.12).png",0.3444713,0.73372096,18.810019,0.21689546,0.89881575,0.80784565,0.24656170000000002,0.23949702,0.46766216,0.5260863,99.09005464422795
"2007_000042_Square_(2000, 0.6, 0.03).png",0.83885026,0.9617261999999999,30.092647999999997,0.6882089,0.98970014,0.9750907,0.064621575,0.06354648,0.82290363,0.29438484,33.21534883641361
"2007_000042_Square_(2000, 0.8, 0.03).png",0.8140925,0.95432734,30.103374,0.64633524,0.9893393,0.9742460999999999,0.06669314,0.06578495,0.85094523,0.30019188,34.41236646657839
"2007_000170_Square_(2000, 0.005, 0.01).png",0.93428636,0.9841377,38.614853000000004,0.74384105,0.9982591999999999,0.9926503000000001,0.015908288,0.015554341499999999,0.961543,0.20608883,8.035804574527289
"2007_000170_Square_(2000, 0.005, 0.02).png",0.8445325,0.9592575000000001,34.188778000000006,0.5865253,0.9952384,0.98082566,0.039571017,0.03829717,0.9046125,0.26500538,21.652332901620206
"2007_000170_Square_(2000, 0.005, 0.03).png",0.70184624,0.9096665,30.125896,0.43297094,0.98792386,0.95591986,0.08253632,0.07924760000000002,0.80296284,0.33321172,40.550283986033755
"2007_000170_Square_(2000, 0.01, 0.01).png",0.9364905000000001,0.9839476999999999,38.615276,0.7515791,0.9982601999999999,0.9928075000000001,0.01598279,0.015611489,0.9606024999999999,0.20527627,9.048660001834078
"2007_000170_Square_(2000, 0.01, 0.02).png",0.85149205,0.9595858,34.187954,0.60177463,0.9952508,0.9810636,0.038724944,0.037609987000000004,0.90265006,0.26183227,21.933256443595006
"2007_000170_Square_(2000, 0.01, 0.03).png",0.71377075,0.9101504,30.125646999999997,0.44742116,0.9879935,0.9566966999999998,0.08106232,0.078168906,0.79911643,0.32953778,41.79137646191175
"2007_000170_Square_(2000, 0.04, 0.01).png",0.95099115,0.9853146,38.61695,0.8059675999999999,0.9983841,0.99342513,0.014962981,0.014804817,0.9596398000000002,0.19642492,8.055878467909585
"2007_000170_Square_(2000, 0.04, 0.02).png",0.85295546,0.9629015,34.187059999999995,0.6115159,0.99536866,0.9819271,0.037682466,0.036668192999999995,0.9086193000000001,0.2595901,20.96581151801945
"2007_000170_Square_(2000, 0.04, 0.03).png",0.74620956,0.920479,30.126103999999998,0.5076883,0.98864806,0.9601194,0.07584552,0.0738002,0.8042022,0.31966469999999997,42.550315645704
"2007_000170_Square_(2000, 0.08, 0.01).png",0.95918345,0.9866923000000001,38.622046999999995,0.83588237,0.9986208000000001,0.99431163,0.014527657,0.014411115,0.963,0.19492026,6.918457856657473
"2007_000170_Square_(2000, 0.08, 0.02).png",0.8789734,0.9656536,34.195755,0.683193,0.9963219999999999,0.98520184,0.0371125,0.03600339,0.9121710999999999,0.25587705,21.49323608718103
"2007_000170_Square_(2000, 0.08, 0.03).png",0.78523874,0.92853975,30.120172999999998,0.57103366,0.9892277,0.9635043,0.07467957,0.07327444,0.80649126,0.31530508,43.38414128740429
"2007_000170_Square_(2000, 0.4, 0.03).png",0.8180574,0.93604875,30.125652000000002,0.6778739,0.993015,0.97044647,0.07393333,0.07542539999999999,0.83523905,0.31315723,47.54140967395452
"2007_000170_Square_(2000, 0.4, 0.06).png",0.4360934,0.79252166,24.731014000000002,0.2496404,0.9622693999999999,0.8902277,0.16956253,0.16152513,0.60105705,0.43739256,67.81423708235646
