file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2007_000042_Square_(2000, 0.005, 0.01).png",0.95184875,0.9903425,38.6035,0.82580334,0.9983069,0.9947434,0.014545259,0.014492679,0.9723864,0.19660702
"2007_000042_Square_(2000, 0.005, 0.02).png",0.8833411,0.97512794,34.17086,0.70030916,0.9952353,0.98581326,0.036145974,0.035680506,0.92924035,0.25345245
"2007_000042_Square_(2000, 0.005, 0.03).png",0.77131003,0.9453826,30.097864,0.56879306,0.9879073,0.967376,0.074145816,0.07254539,0.8499731,0.31668532
"2007_000042_Square_(2000, 0.01, 0.01).png",0.95184875,0.9903425,38.6035,0.82580334,0.9983069,0.9947434,0.014545259,0.014492679,0.9723864,0.19660702
"2007_000042_Square_(2000, 0.01, 0.02).png",0.8833411,0.97512794,34.17086,0.70030916,0.9952353,0.98581326,0.036145974,0.035680506,0.92924035,0.25345245
"2007_000042_Square_(2000, 0.01, 0.03).png",0.7728014,0.9455925,30.097559,0.57350117,0.98791516,0.96743816,0.073804095,0.07224072,0.8491917,0.31598246
"2007_000042_Square_(2000, 0.04, 0.01).png",0.95184875,0.9903425,38.6035,0.82580334,0.9983069,0.9947434,0.014545259,0.014492679,0.9723864,0.19660702
"2007_000042_Square_(2000, 0.04, 0.02).png",0.8833411,0.97512794,34.17086,0.70030916,0.9952353,0.98581326,0.036145974,0.035680506,0.92924035,0.25345245
"2007_000042_Square_(2000, 0.04, 0.03).png",0.7734999,0.9458682,30.096851,0.5732226,0.98789316,0.96781623,0.07396028,0.072341986,0.8466684,0.31618777
"2007_000042_Square_(2000, 0.08, 0.01).png",0.95184875,0.9903425,38.6035,0.82580334,0.9983069,0.9947434,0.014545259,0.014492679,0.9723864,0.19660702
"2007_000042_Square_(2000, 0.08, 0.02).png",0.8833411,0.97512805,34.17086,0.70030916,0.9952353,0.98581326,0.036145974,0.035680506,0.92924035,0.25345245
"2007_000042_Square_(2000, 0.08, 0.03).png",0.7766299,0.94644034,30.096436,0.5797635,0.987926,0.96787673,0.07394092,0.07223439,0.8426986,0.3159643
"2007_000042_Square_(2000, 0.4, 0.03).png",0.81096715,0.9545648,30.099585,0.6462368,0.9902659,0.9730047,0.06670201,0.06620877,0.8469347,0.30267
"2007_000042_Square_(2000, 0.4, 0.06).png",0.5626668,0.86873543,24.694193,0.38710934,0.9620837,0.9142427,0.15326361,0.14874256,0.6778385,0.41380772
"2007_000042_Square_(2000, 0.4, 0.09).png",0.4282616,0.79462355,21.193031,0.28087986,0.9288194,0.85460705,0.21042009,0.20401369,0.55001515,0.47892177
"2007_000042_Square_(2000, 0.4, 0.12).png",0.3444713,0.73372096,18.810019,0.21689546,0.89881575,0.80784565,0.2465617,0.23949702,0.46766216,0.5260863
"2007_000042_Square_(2000, 0.6, 0.03).png",0.83885026,0.9617262,30.092648,0.6882089,0.98970014,0.9750907,0.064621575,0.06354648,0.82290363,0.29438484
"2007_000042_Square_(2000, 0.8, 0.03).png",0.8140925,0.95432734,30.103374,0.64633524,0.9893393,0.9742461,0.06669314,0.06578495,0.85094523,0.30019188
"2007_000170_Square_(2000, 0.005, 0.01).png",0.93428636,0.9841377,38.614853,0.74384105,0.9982592,0.9926503,0.015908288,0.0155543415,0.961543,0.20608883
"2007_000170_Square_(2000, 0.005, 0.02).png",0.8445325,0.9592575,34.188778,0.5865253,0.9952384,0.98082566,0.039571017,0.03829717,0.9046125,0.26500538
"2007_000170_Square_(2000, 0.005, 0.03).png",0.70184624,0.9096665,30.125896,0.43297094,0.98792386,0.95591986,0.08253632,0.0792476,0.80296284,0.33321172
"2007_000170_Square_(2000, 0.01, 0.01).png",0.9364905,0.9839477,38.615276,0.7515791,0.9982602,0.9928075,0.01598279,0.015611489,0.9606025,0.20527627
"2007_000170_Square_(2000, 0.01, 0.02).png",0.85149205,0.9595858,34.187954,0.60177463,0.9952508,0.9810636,0.038724944,0.037609987,0.90265006,0.26183227
"2007_000170_Square_(2000, 0.01, 0.03).png",0.71377075,0.9101504,30.125647,0.44742116,0.9879935,0.9566967,0.08106232,0.078168906,0.79911643,0.32953778
"2007_000170_Square_(2000, 0.04, 0.01).png",0.95099115,0.9853146,38.61695,0.8059676,0.9983841,0.99342513,0.014962981,0.014804817,0.9596398,0.19642492
"2007_000170_Square_(2000, 0.04, 0.02).png",0.85295546,0.9629015,34.18706,0.6115159,0.99536866,0.9819271,0.037682466,0.036668193,0.9086193,0.2595901
"2007_000170_Square_(2000, 0.04, 0.03).png",0.74620956,0.920479,30.126104,0.5076883,0.98864806,0.9601194,0.07584552,0.0738002,0.8042022,0.3196647
"2007_000170_Square_(2000, 0.08, 0.01).png",0.95918345,0.9866923,38.622047,0.83588237,0.9986208,0.99431163,0.014527657,0.014411115,0.963,0.19492026
"2007_000170_Square_(2000, 0.08, 0.02).png",0.8789734,0.9656536,34.195755,0.683193,0.996322,0.98520184,0.0371125,0.03600339,0.9121711,0.25587705
"2007_000170_Square_(2000, 0.08, 0.03).png",0.78523874,0.92853975,30.120173,0.57103366,0.9892277,0.9635043,0.07467957,0.07327444,0.80649126,0.31530508
"2007_000170_Square_(2000, 0.4, 0.03).png",0.8180574,0.93604875,30.125652,0.6778739,0.993015,0.97044647,0.07393333,0.0754254,0.83523905,0.31315723
"2007_000170_Square_(2000, 0.4, 0.06).png",0.4360934,0.79252166,24.731014,0.2496404,0.9622694,0.8902277,0.16956253,0.16152513,0.60105705,0.43739256
"2007_000170_Square_(2000, 0.4, 0.09).png",0.28866336,0.6757097,21.171114,0.16186419,0.92472327,0.8185052,0.23035727,0.21988884,0.45522857,0.51132756
"2007_000170_Square_(2000, 0.4, 0.12).png",0.20930833,0.5853536,18.777454,0.11557642,0.8876849,0.75806886,0.26614618,0.2547787,0.36734667,0.5639237
"2007_000170_Square_(2000, 0.6, 0.03).png",0.8982166,0.97056675,30.144396,0.8210192,0.99408925,0.97655183,0.054057706,0.05569851,0.82640904,0.27764082
"2007_000170_Square_(2000, 0.8, 0.03).png",0.9242047,0.96395636,30.115894,0.8731958,0.99265116,0.97344655,0.058852665,0.060065575,0.777107,0.28255388
"2007_000250_Square_(2000, 0.005, 0.01).png",0.928378,0.98021185,38.59726,0.6944678,0.998291,0.98994446,0.015018503,0.016207188,0.95929706,0.20268765
"2007_000250_Square_(2000, 0.005, 0.02).png",0.82351875,0.9506625,34.164623,0.5179706,0.9952462,0.97475964,0.038800832,0.040806334,0.89450395,0.26436374
"2007_000250_Square_(2000, 0.005, 0.03).png",0.66644084,0.8925883,30.087776,0.36783576,0.98781615,0.942457,0.083723426,0.08488305,0.7783266,0.3376276
"2007_000250_Square_(2000, 0.01, 0.01).png",0.9311632,0.9802798,38.59721,0.7024491,0.9983368,0.99011207,0.014770035,0.016040878,0.9592688,0.20149474
