"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2007_000042_AdvPatch_0.005.png","0.1846","0.0000","5.3294","0.0170","0.7914","0.5345","0.3206","0.3286","0.1672","0.5391","194.2141"
"2007_000042_AdvPatch_0.01.png","0.1842","0.0000","5.3495","0.0169","0.7912","0.5336","0.3203","0.3283","0.1672","0.5391","194.6007"
"2007_000042_AdvPatch_0.02.png","0.1835","0.0000","5.3489","0.0167","0.7905","0.5326","0.3211","0.3292","0.1663","0.5406","194.3149"
"2007_000170_AdvPatch_0.005.png","0.2776","0.0743","6.5746","0.0249","0.8007","0.5873","0.3171","0.3252","0.1816","0.5275","193.0520"
"2007_000170_AdvPatch_0.01.png","0.2752","0.0695","6.5626","0.0241","0.7999","0.5853","0.3181","0.3261","0.1807","0.5291","192.9156"
"2007_000170_AdvPatch_0.02.png","0.2714","0.0630","6.5417","0.0241","0.8004","0.5832","0.3177","0.3260","0.1806","0.5291","192.3522"
"2007_000250_AdvPatch_0.005.png","0.4257","0.3038","10.8377","0.0209","0.8221","0.5975","0.3087","0.3157","0.2174","0.5708","186.6127"
"2007_000250_AdvPatch_0.01.png","0.4274","0.3039","10.8576","0.0210","0.8214","0.5945","0.3100","0.3173","0.2162","0.5732","187.4761"
"2007_000250_AdvPatch_0.02.png","0.4175","0.3005","10.7538","0.0185","0.8214","0.5888","0.3087","0.3160","0.2161","0.5757","186.8654"
"2007_000346_AdvPatch_0.005.png","0.2311","0.1324","10.4867","0.0136","0.7868","0.4879","0.3095","0.3174","0.1980","0.5817","190.5316"
"2007_000346_AdvPatch_0.01.png","0.2305","0.1317","10.4382","0.0138","0.7864","0.4865","0.3100","0.3179","0.1978","0.5842","191.6575"
"2007_000346_AdvPatch_0.02.png","0.2303","0.1411","10.4274","0.0138","0.7890","0.4903","0.3089","0.3167","0.2010","0.5822","189.7442"
"2007_000549_AdvPatch_0.005.png","0.2255","0.1353","9.8382","0.0148","0.8005","0.5305","0.3034","0.3096","0.1906","0.5977","189.7008"
"2007_000549_AdvPatch_0.01.png","0.2197","0.1270","9.7111","0.0143","0.7987","0.5292","0.3038","0.3103","0.1893","0.5990","192.4629"
"2007_000549_AdvPatch_0.02.png","0.2154","0.1247","9.9771","0.0138","0.7956","0.5248","0.3039","0.3104","0.1894","0.6000","192.1009"
"2007_000876_AdvPatch_0.005.png","0.3116","0.0000","7.8128","0.0206","0.8278","0.6278","0.2617","0.2745","0.2231","0.5377","173.0938"
"2007_000876_AdvPatch_0.01.png","0.3089","0.0000","7.8538","0.0203","0.8289","0.6312","0.2590","0.2720","0.2263","0.5339","172.0222"
"2007_000876_AdvPatch_0.02.png","0.3060","0.0000","7.7926","0.0199","0.8281","0.6296","0.2589","0.2721","0.2266","0.5351","171.4818"
"2007_002088_AdvPatch_0.005.png","0.1867","0.1352","9.7016","0.0124","0.8299","0.5930","0.2566","0.2693","0.2221","0.5174","183.2451"
"2007_002088_AdvPatch_0.01.png","0.1827","0.1319","9.6270","0.0119","0.8295","0.5905","0.2576","0.2705","0.2211","0.5194","184.5220"
"2007_002088_AdvPatch_0.02.png","0.1846","0.1348","9.8253","0.0121","0.8267","0.5931","0.2564","0.2694","0.2221","0.5165","184.6587"
"2007_002094_AdvPatch_0.005.png","0.3365","0.0000","9.8854","0.0134","0.7726","0.5351","0.3274","0.3310","0.1697","0.6707","188.4501"
"2007_002094_AdvPatch_0.01.png","0.3359","0.0000","9.8182","0.0134","0.7754","0.5364","0.3275","0.3312","0.1694","0.6708","188.8874"
