"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2007_000042_BIM_(0.05, 0.0025).png","0.9790","0.9897","37.9486","0.7621","0.9976","0.9920","0.0137","0.0156","0.9665","0.1972","11.4573"
"2007_000042_BIM_(0.05, 0.005).png","0.9612","0.9811","35.4936","0.6887","0.9956","0.9859","0.0245","0.0270","0.9459","0.2300","17.5552"
"2007_000042_BIM_(0.1, 0.005).png","0.9346","0.9679","32.8256","0.6020","0.9921","0.9751","0.0412","0.0440","0.9095","0.2674","29.5721"
"2007_000042_BIM_(0.1, 0.01).png","0.8911","0.9463","30.2677","0.5186","0.9858","0.9597","0.0629","0.0655","0.8625","0.3057","41.6453"
"2007_000042_BIM_(0.2, 0.01).png","0.8288","0.9136","27.4402","0.4266","0.9749","0.9338","0.0953","0.0961","0.7901","0.3512","55.8642"
"2007_000042_BIM_(0.2, 0.02).png","0.7416","0.8651","24.5149","0.3404","0.9570","0.8944","0.1365","0.1334","0.6977","0.4005","70.5423"
"2007_000042_BIM_(0.3, 0.015).png","0.7308","0.8582","24.0785","0.3270","0.9545","0.8912","0.1406","0.1379","0.6873","0.4053","72.9419"
"2007_000042_BIM_(0.3, 0.03).png","0.6318","0.7966","21.2183","0.2487","0.9235","0.8346","0.1894","0.1803","0.5830","0.4591","88.4931"
"2007_000170_BIM_(0.05, 0.0025).png","0.9650","0.9820","38.1548","0.6659","0.9975","0.9902","0.0164","0.0177","0.9582","0.2095","13.0249"
"2007_000170_BIM_(0.05, 0.005).png","0.9367","0.9678","35.6257","0.5687","0.9958","0.9833","0.0270","0.0294","0.9340","0.2414","20.9989"
"2007_000170_BIM_(0.1, 0.005).png","0.8923","0.9443","32.9134","0.4653","0.9921","0.9703","0.0460","0.0485","0.8876","0.2811","32.9620"
"2007_000170_BIM_(0.1, 0.01).png","0.8233","0.9068","30.3439","0.3755","0.9862","0.9508","0.0718","0.0734","0.8289","0.3244","45.7226"
"2007_000170_BIM_(0.2, 0.01).png","0.7276","0.8510","27.4857","0.2853","0.9744","0.9193","0.1086","0.1080","0.7359","0.3736","62.7254"
"2007_000170_BIM_(0.2, 0.02).png","0.5985","0.7671","24.5483","0.2076","0.9540","0.8666","0.1607","0.1540","0.6248","0.4342","80.0196"
"2007_000170_BIM_(0.3, 0.015).png","0.5786","0.7534","24.0485","0.1952","0.9495","0.8548","0.1680","0.1608","0.6059","0.4427","83.7897"
"2007_000170_BIM_(0.3, 0.03).png","0.4534","0.6566","21.3030","0.1355","0.9178","0.7890","0.2157","0.2036","0.4940","0.4991","102.4535"
"2007_000250_BIM_(0.05, 0.0025).png","0.9603","0.9797","38.1748","0.6140","0.9974","0.9866","0.0167","0.0187","0.9587","0.2113","21.1157"
"2007_000250_BIM_(0.05, 0.005).png","0.9263","0.9626","35.6152","0.5159","0.9954","0.9774","0.0292","0.0322","0.9332","0.2476","35.0405"
"2007_000250_BIM_(0.1, 0.005).png","0.8745","0.9351","32.8517","0.4120","0.9915","0.9591","0.0519","0.0546","0.8856","0.2918","51.0291"
"2007_000250_BIM_(0.1, 0.01).png","0.7960","0.8919","30.2612","0.3286","0.9847","0.9309","0.0822","0.0829","0.8208","0.3399","64.5640"
"2007_000250_BIM_(0.2, 0.01).png","0.6884","0.8270","27.3113","0.2445","0.9717","0.8850","0.1287","0.1246","0.7232","0.3978","80.4027"
"2007_000250_BIM_(0.2, 0.02).png","0.5507","0.7342","24.2181","0.1741","0.9480","0.8186","0.1835","0.1728","0.6051","0.4589","95.1075"
"2007_000250_BIM_(0.3, 0.015).png","0.5315","0.7188","23.7186","0.1656","0.9454","0.8100","0.1893","0.1786","0.5879","0.4654","98.6777"
"2007_000250_BIM_(0.3, 0.03).png","0.3997","0.6106","20.6418","0.1131","0.9055","0.7240","0.2431","0.2255","0.4686","0.5288","112.3119"
"2007_000346_BIM_(0.05, 0.0025).png","0.9705","0.9850","37.9698","0.6972","0.9977","0.9916","0.0131","0.0150","0.9612","0.1962","13.4264"
"2007_000346_BIM_(0.05, 0.005).png","0.9474","0.9733","35.5666","0.6078","0.9961","0.9858","0.0222","0.0251","0.9402","0.2261","24.2789"
"2007_000346_BIM_(0.1, 0.005).png","0.9088","0.9533","32.8475","0.5042","0.9929","0.9757","0.0380","0.0417","0.9003","0.2633","36.8223"
"2007_000346_BIM_(0.1, 0.01).png","0.8478","0.9212","30.3021","0.4138","0.9872","0.9595","0.0616","0.0651","0.8461","0.3044","47.9463"
"2007_000346_BIM_(0.2, 0.01).png","0.7571","0.8694","27.3501","0.3167","0.9768","0.9319","0.0966","0.0983","0.7646","0.3539","63.1029"
"2007_000346_BIM_(0.2, 0.02).png","0.6323","0.7912","24.2400","0.2290","0.9569","0.8838","0.1444","0.1412","0.6555","0.4111","77.6532"
"2007_000346_BIM_(0.3, 0.015).png","0.6169","0.7807","23.7591","0.2195","0.9533","0.8773","0.1500","0.1466","0.6410","0.4177","80.9262"
"2007_000346_BIM_(0.3, 0.03).png","0.4799","0.6795","20.6940","0.1511","0.9190","0.8098","0.2059","0.1956","0.5165","0.4819","96.6006"
"2007_000549_BIM_(0.05, 0.0025).png","0.9708","0.9855","38.5023","0.6991","0.9976","0.9913","0.0135","0.0154","0.9651","0.1982","15.1946"
"2007_000549_BIM_(0.05, 0.005).png","0.9449","0.9729","35.8108","0.6070","0.9957","0.9844","0.0248","0.0277","0.9403","0.2321","25.7585"
