"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2007_000042_Boundary_100.png","0.1298","0.5066","12.0210","0.0892","0.8665","0.6709","0.2120","0.2137","0.3882","0.5115","155.0191"
"2007_000042_Boundary_1000.png","0.1570","0.5638","12.8230","0.1102","0.8820","0.7066","0.1994","0.1998","0.4271","0.4943","146.7171"
"2007_000042_Boundary_1500.png","0.3142","0.7706","17.0442","0.2347","0.9440","0.8523","0.1281","0.1330","0.6227","0.4039","111.1318"
"2007_000042_Boundary_15000.png","0.9999","1.0000","66.1489","0.9993","1.0000","1.0000","0.0000","0.0000","1.0000","0.0327","0.0000"
"2007_000042_Boundary_2000.png","0.7402","0.9614","27.2930","0.5753","0.9942","0.9812","0.0226","0.0302","0.9297","0.2340","46.6743"
"2007_000042_Boundary_2500.png","0.3151","0.7710","17.0952","0.2335","0.9441","0.8525","0.1294","0.1339","0.6224","0.4054","110.4785"
"2007_000042_Boundary_3000.png","0.3697","0.8159","18.5313","0.2768","0.9577","0.8854","0.1081","0.1150","0.6811","0.3789","100.4214"
"2007_000042_Boundary_3500.png","0.3962","0.8337","19.2151","0.2983","0.9628","0.8967","0.0992","0.1067","0.7074","0.3676","95.2490"
"2007_000042_Boundary_4000.png","0.7043","0.9541","26.9252","0.5385","0.9927","0.9771","0.0283","0.0368","0.9156","0.2484","48.2891"
"2007_000042_Boundary_500.png","0.1629","0.5746","12.9831","0.1149","0.8851","0.7148","0.1945","0.1956","0.4361","0.4878","145.0811"
"2007_000042_Boundary_5000.png","0.9967","0.9997","50.0006","0.9842","1.0000","0.9999","0.0002","0.0003","0.9993","0.0706","0.0000"
"2007_000170_Boundary_100.png","0.5990","0.9266","25.6530","0.3988","0.9924","0.9724","0.0315","0.0401","0.8983","0.2593","50.0295"
"2007_000170_Boundary_1000.png","0.2430","0.7367","18.0582","0.1685","0.9597","0.8706","0.1164","0.1215","0.6472","0.3906","99.9381"
"2007_000170_Boundary_1500.png","0.8745","0.9833","32.9445","0.6684","0.9985","0.9943","0.0069","0.0098","0.9771","0.1733","16.2405"
"2007_000170_Boundary_15000.png","0.9997","1.0000","62.4531","0.9978","1.0000","1.0000","0.0000","0.0000","0.9999","0.0407","0.0000"
"2007_000170_Boundary_2000.png","0.9414","0.9927","36.7531","0.7954","0.9994","0.9976","0.0030","0.0043","0.9900","0.1397","6.6946"
"2007_000170_Boundary_2500.png","0.9701","0.9964","40.0437","0.8761","0.9997","0.9988","0.0015","0.0022","0.9950","0.1169","1.5495"
"2007_000170_Boundary_3000.png","0.9883","0.9986","44.5941","0.9439","0.9999","0.9996","0.0006","0.0009","0.9980","0.0924","0.0000"
"2007_000170_Boundary_3500.png","0.9859","0.9983","43.8672","0.9329","0.9999","0.9995","0.0007","0.0010","0.9976","0.0967","0.0000"
"2007_000170_Boundary_4000.png","0.9929","0.9992","47.2953","0.9640","0.9999","0.9997","0.0004","0.0005","0.9988","0.0818","0.0000"
"2007_000170_Boundary_500.png","0.4326","0.8661","22.3954","0.2880","0.9838","0.9435","0.0589","0.0687","0.8140","0.3117","70.3397"
