"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2007_000042_Daedalus_(0.3,512).png","0.1458","0.0808","7.0880","0.0101","0.7741","0.5012","0.3259","0.3319","0.1712","0.5987","210.5053"
"2007_000170_Daedalus_(0.3,512).png","0.1723","0.1800","6.9192","0.0082","0.7560","0.5177","0.3232","0.3300","0.1604","0.6247","200.7893"
"2007_000250_Daedalus_(0.3,512).png","0.3180","0.1892","12.1753","0.0078","0.8016","0.5309","0.3167","0.3213","0.2111","0.6155","187.8883"
"2007_000346_Daedalus_(0.3,512).png","0.2685","0.2052","10.4216","0.0120","0.8376","0.5995","0.2695","0.2815","0.2504","0.5363","178.6281"
"2007_000549_Daedalus_(0.3,512).png","0.2284","0.1243","10.6461","0.0097","0.8353","0.6347","0.2597","0.2746","0.2645","0.5465","168.9382"
"2007_000876_Daedalus_(0.3,512).png","0.2037","0.1803","8.7689","0.0214","0.8410","0.6269","0.2442","0.2615","0.2271","0.5371","169.8254"
"2007_002088_Daedalus_(0.3,512).png","0.1578","0.1454","8.0028","0.0116","0.8189","0.5476","0.2778","0.2898","0.2210","0.4905","181.9846"
"2007_002094_Daedalus_(0.3,512).png","0.4507","0.2503","9.9728","0.0221","0.8345","0.6749","0.2235","0.2360","0.3306","0.5666","166.0642"
"2007_002099_Daedalus_(0.3,512).png","0.1912","0.1277","6.9733","0.0093","0.7724","0.5273","0.3159","0.3212","0.1676","0.6411","186.2255"
"2007_002293_Daedalus_(0.3,512).png","0.2422","0.1316","8.8303","0.0103","0.7619","0.4967","0.3390","0.3444","0.1697","0.6438","203.8768"
"2007_002344_Daedalus_(0.3,512).png","0.1664","0.0000","7.0962","0.0093","0.7897","0.5097","0.3066","0.3148","0.1600","0.6041","200.2480"
"2007_002400_Daedalus_(0.3,512).png","0.3314","0.2484","9.7360","0.0152","0.8105","0.5839","0.3013","0.3078","0.2012","0.5140","198.0816"
"2007_002597_Daedalus_(0.3,512).png","0.2443","0.1359","9.4925","0.0124","0.8044","0.5498","0.2989","0.3107","0.2176","0.5395","190.1249"
"2007_002824_Daedalus_(0.3,512).png","0.2322","0.1856","6.8453","0.0074","0.8438","0.6053","0.2947","0.3057","0.2272","0.5727","182.8363"
"2007_002852_Daedalus_(0.3,512).png","0.1726","0.0000","7.8412","0.0194","0.8246","0.6032","0.2664","0.2802","0.2164","0.5318","177.7314"
"2007_002953_Daedalus_(0.3,512).png","0.2070","0.1821","8.5834","0.0158","0.7892","0.5066","0.3319","0.3423","0.1440","0.5667","196.5563"
"2007_003118_Daedalus_(0.3,512).png","0.3425","0.1100","8.1742","0.0193","0.8021","0.5566","0.2824","0.2957","0.1790","0.5251","194.5083"
"2007_003137_Daedalus_(0.3,512).png","0.1196","0.0803","9.0724","0.0124","0.7585","0.5433","0.2904","0.2987","0.1938","0.5790","194.6584"
"2007_003191_Daedalus_(0.3,512).png","0.2506","0.1176","9.1016","0.0185","0.8171","0.5918","0.2774","0.2880","0.2050","0.5723","191.0607"
"2007_003251_Daedalus_(0.3,512).png","0.1502","0.0961","7.2301","0.0113","0.7707","0.5262","0.3227","0.3276","0.1949","0.5876","198.6751"
"2007_003349_Daedalus_(0.3,512).png","0.2133","0.0239","8.3000","0.0202","0.8133","0.5836","0.2808","0.2921","0.2370","0.4976","180.8345"
"2007_003431_Daedalus_(0.3,512).png","0.0799","0.0328","4.6911","0.0059","0.6479","0.3896","0.3599","0.3530","0.1155","0.7324","196.6752"
"2007_003580_Daedalus_(0.3,512).png","0.3015","0.1517","9.1165","0.0200","0.8419","0.6276","0.2714","0.2848","0.2075","0.5338","183.5265"
"2007_003715_Daedalus_(0.3,512).png","0.3140","0.2165","9.1350","0.0099","0.7841","0.5432","0.2982","0.3141","0.1894","0.5089","183.0548"
"2007_004065_Daedalus_(0.3,512).png","0.2345","0.1524","10.3072","0.0108","0.7842","0.5090","0.3148","0.3203","0.1761","0.5942","187.9867"
"2007_004092_Daedalus_(0.3,512).png","0.2254","0.1745","9.8054","0.0136","0.8109","0.5509","0.3030","0.3122","0.1905","0.5777","184.0028"
"2007_004707_Daedalus_(0.3,512).png","0.1796","0.1176","9.4169","0.0170","0.8347","0.5911","0.2740","0.2872","0.2039","0.4635","186.8905"
"2007_004856_Daedalus_(0.3,512).png","0.2527","0.0000","8.0800","0.0237","0.8313","0.5915","0.2756","0.2863","0.2106","0.5340","169.2848"
"2007_004948_Daedalus_(0.3,512).png","0.2056","0.0316","8.2411","0.0109","0.8005","0.5536","0.2993","0.3063","0.2221","0.5330","181.5328"
"2007_005264_Daedalus_(0.3,512).png","0.2122","0.2142","11.7516","0.0063","0.7641","0.4982","0.2922","0.2983","0.2126","0.6452","183.7508"
"2007_005368_Daedalus_(0.3,512).png","0.2210","0.0826","8.5976","0.0146","0.7819","0.5556","0.3085","0.3170","0.1894","0.5315","194.1930"
"2007_005688_Daedalus_(0.3,512).png","0.2324","0.0862","9.7549","0.0168","0.7977","0.5729","0.2638","0.2766","0.1928","0.5274","185.9970"
"2007_005844_Daedalus_(0.3,512).png","0.2866","0.0991","7.1210","0.0192","0.8158","0.5787","0.3132","0.3215","0.1953","0.5195","181.8653"
"2007_006117_Daedalus_(0.3,512).png","0.2581","0.1098","8.9145","0.0159","0.8016","0.5546","0.2993","0.3058","0.2021","0.5578","187.4510"
"2007_006560_Daedalus_(0.3,512).png","0.1777","0.0716","7.8465","0.0085","0.7997","0.5202","0.3206","0.3289","0.1406","0.6252","193.3173"
"2007_006704_Daedalus_(0.3,512).png","0.2134","0.0000","8.1063","0.0067","0.7707","0.5063","0.3400","0.3447","0.1404","0.6352","193.5501"
"2007_006865_Daedalus_(0.3,512).png","0.1675","0.0000","7.1756","0.0265","0.8337","0.6458","0.2668","0.2812","0.1941","0.5132","172.9585"
"2007_006946_Daedalus_(0.3,512).png","0.2688","0.1313","8.7646","0.0114","0.7642","0.4998","0.3372","0.3397","0.1680","0.6602","202.0195"
"2007_007080_Daedalus_(0.3,512).png","0.1127","0.1211","5.6869","0.0114","0.7791","0.4801","0.3306","0.3356","0.1417","0.6766","200.1519"
"2007_007168_Daedalus_(0.3,512).png","0.1673","0.0000","7.8141","0.0085","0.7428","0.4766","0.3346","0.3412","0.1388","0.6439","206.7215"
"2007_007481_Daedalus_(0.3,512).png","0.1624","0.1115","8.0184","0.0108","0.7703","0.5017","0.3211","0.3251","0.1634","0.6380","204.7254"
"2007_007908_Daedalus_(0.3,512).png","0.1636","0.1327","8.3240","0.0087","0.7857","0.5078","0.3149","0.3215","0.1709","0.5948","198.7638"
"2007_007955_Daedalus_(0.3,512).png","0.2023","0.0000","6.1305","0.0129","0.7979","0.5490","0.3110","0.3194","0.1517","0.5695","186.7364"
"2007_008430_Daedalus_(0.3,512).png","0.3293","0.1941","10.6231","0.0095","0.8324","0.5816","0.2921","0.3054","0.2095","0.5948","186.9151"
"2007_008714_Daedalus_(0.3,512).png","0.5824","0.3380","6.2943","0.0065","0.7788","0.6075","0.2903","0.3055","0.1511","0.5250","192.2382"
"2007_008764_Daedalus_(0.3,512).png","0.3377","0.0000","10.0144","0.0141","0.7998","0.5735","0.2863","0.3006","0.2105","0.5283","184.0542"
"2007_008944_Daedalus_(0.3,512).png","0.2543","0.1384","10.6504","0.0105","0.8175","0.6003","0.2644","0.2822","0.2460","0.5412","182.7418"
"2007_008948_Daedalus_(0.3,512).png","0.3109","0.2231","10.6702","0.0125","0.8357","0.5662","0.3124","0.3206","0.2116","0.5882","192.7439"
"2007_009446_Daedalus_(0.3,512).png","0.3551","0.2613","9.1512","0.0103","0.8033","0.5685","0.3318","0.3390","0.1322","0.6291","176.6106"
"2007_009654_Daedalus_(0.3,512).png","0.2350","0.0242","8.9884","0.0066","0.7586","0.4947","0.3418","0.3465","0.1440","0.6792","195.8231"
"2007_009709_Daedalus_(0.3,512).png","0.1164","0.1289","8.6991","0.0096","0.7744","0.5144","0.3142","0.3216","0.1682","0.5909","214.8396"
"2008_000016_Daedalus_(0.3,512).png","0.2673","0.1167","7.9493","0.0101","0.7648","0.5106","0.3464","0.3472","0.1683","0.6277","182.2322"
"2008_000318_Daedalus_(0.3,512).png","0.2654","0.1082","10.5315","0.0103","0.8156","0.5787","0.2728","0.2877","0.2339","0.5127","181.1445"
"2008_000348_Daedalus_(0.3,512).png","0.1978","0.1298","7.5879","0.0159","0.8072","0.5432","0.3042","0.3139","0.1961","0.5214","189.5744"
"2008_000359_Daedalus_(0.3,512).png","0.1756","0.2145","9.0684","0.0210","0.8122","0.5855","0.2916","0.3044","0.2212","0.5004","177.4301"
"2008_000382_Daedalus_(0.3,512).png","0.1996","0.0798","9.6806","0.0113","0.7833","0.5315","0.3064","0.3128","0.1957","0.6204","191.8463"
"2008_000397_Daedalus_(0.3,512).png","0.3240","0.1997","9.3848","0.0118","0.8288","0.5623","0.2985","0.3108","0.1893","0.5639","190.4627"
"2008_000491_Daedalus_(0.3,512).png","0.2956","0.0513","8.9786","0.0151","0.8100","0.5713","0.2972","0.3066","0.2051","0.5581","190.2793"
"2008_000532_Daedalus_(0.3,512).png","0.1247","0.0454","9.9071","0.0109","0.7843","0.5507","0.2966","0.3038","0.2107","0.4809","189.7585"
"2008_000533_Daedalus_(0.3,512).png","0.3649","0.1569","8.4341","0.0175","0.8325","0.5525","0.2888","0.3041","0.1974","0.5572","181.6066"
"2008_000536_Daedalus_(0.3,512).png","0.3510","0.2168","11.2699","0.0204","0.8813","0.6533","0.2345","0.2529","0.2868","0.4805","168.8968"
"2008_000552_Daedalus_(0.3,512).png","0.1333","0.1115","8.0044","0.0113","0.7723","0.4955","0.3065","0.3164","0.1912","0.5559","204.7774"
"2008_000559_Daedalus_(0.3,512).png","0.1976","0.0373","9.2224","0.0103","0.8264","0.6029","0.2786","0.2884","0.2573","0.5724","176.3843"
"2008_000703_Daedalus_(0.3,512).png","0.3944","0.2620","11.7384","0.0166","0.8038","0.5692","0.2878","0.2934","0.1809","0.5167","184.0427"
"2008_000793_Daedalus_(0.3,512).png","0.0785","0.0423","6.4884","0.0079","0.7855","0.5506","0.3038","0.3186","0.2046","0.5521","183.8007"
"2008_000796_Daedalus_(0.3,512).png","0.1857","0.2150","9.3862","0.0107","0.8188","0.5891","0.2822","0.2944","0.2145","0.5884","193.5352"
"2008_000839_Daedalus_(0.3,512).png","0.0943","0.1306","8.4650","0.0115","0.8224","0.6124","0.2523","0.2701","0.2633","0.5123","180.7351"
"2008_000857_Daedalus_(0.3,512).png","0.3452","0.0000","10.0258","0.0202","0.8183","0.5837","0.3152","0.3216","0.2205","0.4742","179.8895"
"2008_000911_Daedalus_(0.3,512).png","0.3829","0.2221","7.3107","0.0192","0.8036","0.5728","0.3054","0.3184","0.1929","0.5025","174.5833"
"2008_000924_Daedalus_(0.3,512).png","0.1866","0.1444","9.6771","0.0142","0.7944","0.5381","0.3072","0.3147","0.1914","0.5789","195.6375"
"2008_000939_Daedalus_(0.3,512).png","0.1333","0.0858","10.2598","0.0074","0.7386","0.4739","0.3174","0.3210","0.1514","0.6504","200.6214"
"2008_001020_Daedalus_(0.3,512).png","0.2477","0.1472","10.0556","0.0161","0.8003","0.5582","0.2815","0.2932","0.1983","0.5353","181.0922"
"2008_001036_Daedalus_(0.3,512).png","0.3721","0.1812","9.2297","0.0159","0.8134","0.6284","0.2683","0.2830","0.2214","0.5384","189.4336"
"2008_001054_Daedalus_(0.3,512).png","0.1509","0.0512","7.6175","0.0132","0.7823","0.5306","0.3176","0.3233","0.1946","0.5294","197.5595"
"2008_001077_Daedalus_(0.3,512).png","0.2687","0.1756","11.2368","0.0121","0.7938","0.5630","0.3035","0.3102","0.2112","0.5747","190.5672"
"2008_001389_Daedalus_(0.3,512).png","0.3426","0.1044","9.1168","0.0060","0.7624","0.5144","0.3335","0.3421","0.1692","0.6364","182.6510"
"2008_001405_Daedalus_(0.3,512).png","0.0819","0.0000","6.2799","0.0138","0.7312","0.4593","0.3311","0.3354","0.1456","0.5705","206.3045"
"2008_001428_Daedalus_(0.3,512).png","0.3510","0.1299","8.7604","0.0182","0.7938","0.5453","0.3090","0.3138","0.1497","0.6302","184.8124"
"2008_001429_Daedalus_(0.3,512).png","0.1949","0.0274","6.5888","0.0138","0.7846","0.5060","0.3170","0.3251","0.1648","0.5552","200.7350"
"2008_001430_Daedalus_(0.3,512).png","0.2845","0.1085","10.0795","0.0234","0.8573","0.6594","0.2317","0.2488","0.2633","0.5125","177.6457"
"2008_001460_Daedalus_(0.3,512).png","0.1359","0.1289","8.4648","0.0120","0.8005","0.5182","0.2901","0.2998","0.1920","0.5883","197.7477"
"2008_001479_Daedalus_(0.3,512).png","0.3226","0.2300","6.1299","0.0197","0.8267","0.6059","0.3128","0.3215","0.1887","0.5675","174.5339"
"2008_001503_Daedalus_(0.3,512).png","0.2950","0.0910","8.4375","0.0160","0.8113","0.5540","0.3026","0.3114","0.2136","0.5675","180.4428"
"2008_001516_Daedalus_(0.3,512).png","0.2116","0.0000","6.6959","0.0149","0.8062","0.5814","0.2981","0.3082","0.2170","0.5563","175.2881"
"2008_001523_Daedalus_(0.3,512).png","0.3732","0.2537","9.5554","0.0106","0.7986","0.5772","0.3022","0.3186","0.2165","0.5563","190.3326"
"2008_001622_Daedalus_(0.3,512).png","0.1819","0.0409","7.5126","0.0107","0.7964","0.5251","0.2944","0.3095","0.1771","0.5623","196.6047"
"2008_001626_Daedalus_(0.3,512).png","0.1589","0.0842","8.5473","0.0166","0.7813","0.5325","0.2951","0.3046","0.1643","0.5033","193.9138"
"2008_001641_Daedalus_(0.3,512).png","0.1792","0.1220","6.5837","0.0115","0.7994","0.5594","0.3121","0.3167","0.1920","0.6170","181.7245"
"2008_001679_Daedalus_(0.3,512).png","0.1122","0.1332","7.7082","0.0233","0.8138","0.5622","0.2729","0.2887","0.1671","0.5228","172.6679"
"2008_001691_Daedalus_(0.3,512).png","0.3731","0.3120","7.6931","0.0159","0.7474","0.5631","0.3175","0.3318","0.1705","0.4903","196.0361"
"2008_001694_Daedalus_(0.3,512).png","0.2592","0.1727","7.2164","0.0102","0.8167","0.5672","0.3133","0.3214","0.2086","0.5961","179.2885"
"2008_001702_Daedalus_(0.3,512).png","0.1853","0.1096","6.6394","0.0092","0.7844","0.5154","0.3264","0.3403","0.1482","0.6302","192.1076"
"2008_001717_Daedalus_(0.3,512).png","0.1341","0.1648","6.9991","0.0058","0.7945","0.5639","0.2733","0.2842","0.2279","0.5525","171.5700"
"2008_001723_Daedalus_(0.3,512).png","0.1819","0.0575","8.5578","0.0126","0.7866","0.5679","0.3005","0.3106","0.1971","0.5406","193.8974"
"2008_001744_Daedalus_(0.3,512).png","0.1840","0.1605","6.7729","0.0122","0.7868","0.5546","0.2983","0.3078","0.1828","0.5610","189.9886"
"2008_001746_Daedalus_(0.3,512).png","0.1692","0.0000","9.8756","0.0141","0.7957","0.5435","0.3055","0.3122","0.2116","0.5546","191.1388"
"2008_001770_Daedalus_(0.3,512).png","0.1069","0.1842","6.2396","0.0186","0.8044","0.5761","0.2956","0.3059","0.1980","0.5751","178.0316"
"2008_001783_Daedalus_(0.3,512).png","0.2532","0.1586","10.1414","0.0091","0.7722","0.5268","0.3128","0.3164","0.2111","0.5435","186.5563"
"2008_001792_Daedalus_(0.3,512).png","0.3449","0.1971","9.1723","0.0139","0.8345","0.5985","0.2833","0.2946","0.2155","0.5658","175.1444"
"2008_001805_Daedalus_(0.3,512).png","0.3516","0.1980","10.0149","0.0136","0.8207","0.5729","0.2755","0.2856","0.1919","0.5420","186.8875"
"2008_001806_Daedalus_(0.3,512).png","0.4100","0.2798","9.2854","0.0176","0.8334","0.6111","0.2720","0.2888","0.2141","0.5249","178.1374"
"2008_001808_Daedalus_(0.3,512).png","0.2023","0.1378","9.9554","0.0175","0.8067","0.5624","0.2869","0.2966","0.2242","0.5153","189.5188"
"2008_001809_Daedalus_(0.3,512).png","0.3327","0.2196","10.5479","0.0117","0.8196","0.5541","0.3243","0.3339","0.1807","0.5552","190.1674"
"2008_001810_Daedalus_(0.3,512).png","0.1089","0.0202","8.8763","0.0116","0.7676","0.5124","0.3047","0.3108","0.2160","0.5282","194.2585"
"2008_001813_Daedalus_(0.3,512).png","0.2736","0.0969","11.1762","0.0167","0.8283","0.5615","0.2820","0.2933","0.2270","0.4871","187.1631"
"2008_001815_Daedalus_(0.3,512).png","0.1686","0.0281","8.3132","0.0106","0.7523","0.4735","0.3410","0.3456","0.1722","0.5812","208.4933"
"2008_001820_Daedalus_(0.3,512).png","0.2174","0.0688","7.5028","0.0146","0.7386","0.4703","0.3348","0.3418","0.1140","0.5525","205.6163"
