"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2007_000042_FGSM_0.003.png","0.9940","0.9988","48.1911","0.9535","0.9997","0.9992","0.0015","0.0016","0.9965","0.1137","0.0568"
"2007_000042_FGSM_0.01.png","0.9502","0.9895","38.6551","0.7785","0.9977","0.9928","0.0123","0.0133","0.9720","0.1947","8.2072"
"2007_000042_FGSM_0.03.png","0.7634","0.9403","30.1493","0.5130","0.9839","0.9553","0.0675","0.0685","0.8528","0.3149","42.6269"
"2007_000042_FGSM_0.05.png","0.6043","0.8810","25.9610","0.3808","0.9609","0.9048","0.1285","0.1252","0.7251","0.3917","64.3963"
"2007_000042_FGSM_0.07.png","0.4966","0.8272","23.2230","0.3010","0.9348","0.8561","0.1754","0.1678","0.6254","0.4425","79.1437"
"2007_000042_FGSM_0.1.png","0.3922","0.7603","20.3776","0.2264","0.8957","0.7937","0.2232","0.2113","0.5219","0.4949","95.0236"
"2007_000042_FGSM_0.3.png","0.1329","0.4724","11.7674","0.0665","0.7365","0.5587","0.3205","0.3039","0.2604","0.6677","150.1924"
"2007_000042_FGSM_0.5.png","0.0544","0.2776","8.0650","0.0246","0.6505","0.4324","0.3314","0.3162","0.1745","0.7217","179.8509"
"2007_000042_FGSM_0.7.png","0.0194","0.1204","5.9275","0.0076","0.6002","0.3590","0.3314","0.3190","0.1326","0.7389","212.5483"
"2007_000170_FGSM_0.003.png","0.9916","0.9979","48.1960","0.9258","0.9997","0.9989","0.0018","0.0019","0.9954","0.1212","0.3372"
"2007_000170_FGSM_0.01.png","0.9310","0.9817","38.6649","0.6750","0.9977","0.9906","0.0145","0.0154","0.9634","0.2082","11.6710"
"2007_000170_FGSM_0.03.png","0.6821","0.8960","30.1753","0.3630","0.9840","0.9430","0.0786","0.0783","0.8107","0.3373","48.3754"
"2007_000170_FGSM_0.05.png","0.4846","0.7946","26.0013","0.2392","0.9613","0.8798","0.1464","0.1411","0.6552","0.4189","72.3840"
"2007_000170_FGSM_0.07.png","0.3601","0.7047","23.2484","0.1740","0.9340","0.8175","0.1978","0.1883","0.5388","0.4751","89.9887"
"2007_000170_FGSM_0.1.png","0.2513","0.5983","20.3848","0.1195","0.8912","0.7367","0.2472","0.2343","0.4205","0.5362","109.4774"
"2007_000170_FGSM_0.3.png","0.0670","0.2930","12.2663","0.0299","0.7132","0.4742","0.3130","0.3024","0.1824","0.7028","162.4031"
"2007_000170_FGSM_0.5.png","0.0283","0.1667","8.4641","0.0119","0.6175","0.3607","0.3081","0.3016","0.1172","0.7393","188.3053"
"2007_000170_FGSM_0.7.png","0.0116","0.0799","5.9538","0.0048","0.5508","0.2958","0.2976","0.2947","0.0854","0.7442","219.6649"
"2007_000250_FGSM_0.003.png","0.9905","0.9974","48.1840","0.9067","0.9997","0.9985","0.0020","0.0021","0.9953","0.1252","0.0000"
"2007_000250_FGSM_0.01.png","0.9224","0.9780","38.6474","0.6267","0.9976","0.9867","0.0161","0.0167","0.9620","0.2148","20.5803"
"2007_000250_FGSM_0.03.png","0.6555","0.8787","30.1369","0.3204","0.9822","0.9212","0.0879","0.0861","0.8078","0.3513","66.9917"
"2007_000250_FGSM_0.05.png","0.4572","0.7674","25.9293","0.2073","0.9564","0.8408","0.1610","0.1529","0.6474","0.4356","89.7660"
"2007_000250_FGSM_0.07.png","0.3364","0.6732","23.1141","0.1490","0.9254","0.7656","0.2145","0.2019","0.5276","0.4923","104.0936"
"2007_000250_FGSM_0.1.png","0.2310","0.5648","20.0913","0.1011","0.8774","0.6721","0.2647","0.2494","0.4077","0.5543","118.8796"
"2007_000250_FGSM_0.3.png","0.0478","0.2481","10.6644","0.0221","0.6545","0.3749","0.3201","0.3153","0.1547","0.7419","168.4786"
"2007_000250_FGSM_0.5.png","0.0165","0.1239","6.9893","0.0075","0.5556","0.2764","0.3092","0.3080","0.1018","0.7428","194.7550"
"2007_000250_FGSM_0.7.png","0.0070","0.0543","5.8891","0.0030","0.5245","0.2524","0.3013","0.2999","0.0911","0.7363","214.2671"
"2007_000346_FGSM_0.003.png","0.9927","0.9982","48.1861","0.9379","0.9998","0.9991","0.0014","0.0016","0.9959","0.1133","0.0000"
"2007_000346_FGSM_0.01.png","0.9393","0.9847","38.6501","0.7129","0.9979","0.9923","0.0118","0.0130","0.9674","0.1944","12.2487"
"2007_000346_FGSM_0.03.png","0.7125","0.9115","30.1422","0.4045","0.9855","0.9533","0.0657","0.0673","0.8322","0.3134","49.5154"
