"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2007_000042_GAP_(i, u, 10).png","0.7331","0.9457","29.8333","0.4879","0.9993","0.9964","0.0112","0.0610","0.8147","0.1670","38.6968"
"2007_000042_GAP_(i, u, 20).png","0.5006","0.8698","23.7762","0.3338","0.9976","0.9903","0.0248","0.0951","0.6892","0.2381","63.4708"
"2007_000042_GAP_(i, u, 30).png","0.4255","0.8673","20.6668","0.3086","0.9836","0.9666","0.0213","0.0939","0.5372","0.3799","71.6690"
"2007_000042_GAP_(i, u, 5).png","0.8859","0.9876","35.1334","0.6187","1.0000","0.9999","0.0005","0.0098","0.9979","0.0758","3.5572"
"2007_000042_GAP_(u, t, 10).png","0.8248","0.9497","31.1165","0.5179","0.9868","0.9521","0.0730","0.0735","0.8377","0.3207","50.3554"
"2007_000042_GAP_(u, t, 20).png","0.6035","0.8500","24.4740","0.2994","0.9451","0.8558","0.1798","0.1774","0.5972","0.4450","92.2566"
"2007_000042_GAP_(u, t, 30).png","0.4981","0.8078","21.5289","0.2415","0.9340","0.8185","0.2089","0.2052","0.5185","0.4781","106.6813"
"2007_000042_GAP_(u, t, 5).png","0.9424","0.9864","36.7485","0.7271","0.9965","0.9874","0.0231","0.0240","0.9521","0.2254","20.1192"
"2007_000170_GAP_(i, u, 10).png","0.6356","0.9195","29.6253","0.3339","0.9994","0.9985","0.0034","0.0622","0.7744","0.1396","41.4437"
"2007_000170_GAP_(i, u, 20).png","0.3532","0.7870","23.5495","0.2177","0.9972","0.9870","0.0219","0.0885","0.6612","0.2497","66.5950"
"2007_000170_GAP_(i, u, 30).png","0.2793","0.7966","19.9178","0.2122","0.9726","0.9532","0.0226","0.0839","0.3982","0.3936","78.4405"
"2007_000170_GAP_(i, u, 5).png","0.8423","0.9805","35.0970","0.4868","0.9999","0.9998","0.0004","0.0101","0.9979","0.0728","5.7197"
"2007_000170_GAP_(u, t, 10).png","0.7587","0.9078","31.1374","0.3747","0.9870","0.9398","0.0832","0.0834","0.7929","0.3403","51.8690"
"2007_000170_GAP_(u, t, 20).png","0.4806","0.7370","24.5003","0.1755","0.9432","0.8172","0.1990","0.1958","0.5144","0.4730","98.5050"
"2007_000170_GAP_(u, t, 30).png","0.3554","0.6683","21.5136","0.1319","0.9309","0.7666","0.2263","0.2228","0.4294","0.5081","114.0694"
"2007_000170_GAP_(u, t, 5).png","0.9182","0.9747","36.7635","0.6159","0.9966","0.9841","0.0263","0.0272","0.9406","0.2372","21.0135"
"2007_000250_GAP_(i, u, 10).png","0.5945","0.9039","29.4043","0.2967","0.9995","0.9972","0.0137","0.0647","0.7559","0.1670","52.7010"
"2007_000250_GAP_(i, u, 20).png","0.3388","0.7828","23.7966","0.1817","0.9984","0.9922","0.0195","0.0849","0.6270","0.2093","73.8361"
"2007_000250_GAP_(i, u, 30).png","0.2452","0.7609","20.5097","0.1503","0.9897","0.9826","0.0231","0.0798","0.7269","0.2858","68.2632"
"2007_000250_GAP_(i, u, 5).png","0.8210","0.9774","35.0563","0.4389","1.0000","0.9999","0.0005","0.0107","0.9986","0.0703","0.9220"
"2007_000250_GAP_(u, t, 10).png","0.7351","0.8911","31.0941","0.3338","0.9866","0.9212","0.0931","0.0926","0.7833","0.3546","76.7756"
"2007_000250_GAP_(u, t, 20).png","0.4594","0.7068","24.3839","0.1510","0.9405","0.7747","0.2150","0.2107","0.4980","0.4899","117.0990"
"2007_000250_GAP_(u, t, 30).png","0.3380","0.6305","21.3038","0.1139","0.9280","0.7141","0.2471","0.2417","0.4095","0.5294","130.2469"
"2007_000250_GAP_(u, t, 5).png","0.9074","0.9690","36.7327","0.5666","0.9966","0.9787","0.0300","0.0308","0.9366","0.2469","42.7915"
"2007_000346_GAP_(i, u, 10).png","0.6585","0.9258","29.4581","0.3702","0.9994","0.9962","0.0132","0.0608","0.7818","0.1678","40.2201"
"2007_000346_GAP_(i, u, 20).png","0.4076","0.8263","23.8780","0.2381","0.9980","0.9892","0.0249","0.0882","0.6594","0.2253","61.8830"
"2007_000346_GAP_(i, u, 30).png","0.3123","0.8041","20.4293","0.2089","0.9799","0.9765","0.0173","0.0832","0.5849","0.3453","63.0037"
"2007_000346_GAP_(i, u, 5).png","0.8597","0.9834","35.1470","0.5256","1.0000","0.9998","0.0005","0.0093","0.9976","0.0795","0.0000"
"2007_000346_GAP_(u, t, 10).png","0.7844","0.9199","31.1055","0.4102","0.9881","0.9527","0.0723","0.0739","0.8164","0.3208","59.8589"
"2007_000346_GAP_(u, t, 20).png","0.5242","0.7700","24.4187","0.1964","0.9476","0.8421","0.1803","0.1797","0.5576","0.4461","98.2621"
"2007_000346_GAP_(u, t, 30).png","0.4004","0.7068","21.3582","0.1481","0.9370","0.7975","0.2124","0.2108","0.4712","0.4846","112.4110"
"2007_000346_GAP_(u, t, 5).png","0.9282","0.9778","36.7470","0.6505","0.9968","0.9876","0.0236","0.0248","0.9466","0.2280","29.6951"
"2007_000549_GAP_(i, u, 10).png","0.6691","0.9265","29.5325","0.3555","0.9993","0.9974","0.0091","0.0645","0.7802","0.1552","41.1483"
"2007_000549_GAP_(i, u, 20).png","0.4251","0.8271","23.9459","0.2240","0.9977","0.9892","0.0225","0.0900","0.6573","0.2417","61.9568"
"2007_000549_GAP_(i, u, 30).png","0.3306","0.8050","20.5055","0.1979","0.9837","0.9758","0.0294","0.0868","0.6402","0.3445","69.3113"
"2007_000549_GAP_(i, u, 5).png","0.8599","0.9831","35.0619","0.5078","1.0000","0.9998","0.0006","0.0105","0.9987","0.0779","0.0000"
"2007_000549_GAP_(u, t, 10).png","0.7819","0.9203","31.1376","0.3988","0.9857","0.9464","0.0815","0.0817","0.8061","0.3334","56.6108"
"2007_000549_GAP_(u, t, 20).png","0.5343","0.7741","24.5096","0.1861","0.9467","0.8315","0.1814","0.1800","0.5514","0.4518","92.5340"
"2007_000549_GAP_(u, t, 30).png","0.4109","0.7070","21.4439","0.1367","0.9323","0.7822","0.2149","0.2129","0.4560","0.4948","105.4338"
"2007_000549_GAP_(u, t, 5).png","0.9228","0.9777","36.7371","0.6392","0.9962","0.9858","0.0273","0.0285","0.9435","0.2361","30.0248"
"2007_000876_GAP_(i, u, 10).png","0.6488","0.9355","29.8486","0.3837","0.9991","0.9957","0.0144","0.0531","0.7947","0.1841","38.8832"
"2007_000876_GAP_(i, u, 20).png","0.3645","0.8361","23.9708","0.2419","0.9975","0.9907","0.0250","0.0845","0.6715","0.2260","62.4547"
"2007_000876_GAP_(i, u, 30).png","0.2648","0.8096","20.7400","0.2080","0.9909","0.9787","0.0276","0.0867","0.6580","0.2995","72.3782"
"2007_000876_GAP_(i, u, 5).png","0.8468","0.9852","35.2624","0.5359","0.9999","0.9997","0.0010","0.0084","0.9983","0.0942","0.0000"
"2007_000876_GAP_(u, t, 10).png","0.7663","0.9393","31.2173","0.4179","0.9898","0.9559","0.0569","0.0606","0.8382","0.2960","49.2613"
"2007_000876_GAP_(u, t, 20).png","0.4871","0.8041","24.5637","0.1936","0.9570","0.8539","0.1499","0.1527","0.6148","0.4116","88.0331"
"2007_000876_GAP_(u, t, 30).png","0.3600","0.7410","21.5518","0.1446","0.9461","0.8120","0.1788","0.1804","0.5350","0.4471","100.9581"
"2007_000876_GAP_(u, t, 5).png","0.9131","0.9836","36.7983","0.6649","0.9972","0.9881","0.0180","0.0200","0.9527","0.2117","20.4498"
"2007_002088_GAP_(i, u, 10).png","0.7784","0.9558","29.6718","0.4368","0.9992","0.9967","0.0083","0.0430","0.7956","0.1596","21.3094"
"2007_002088_GAP_(i, u, 20).png","0.5081","0.8831","23.9495","0.2768","0.9972","0.9884","0.0219","0.0747","0.7043","0.2212","45.2514"
"2007_002088_GAP_(i, u, 30).png","0.3708","0.8492","20.5368","0.2260","0.9859","0.9748","0.0228","0.0767","0.5979","0.3293","53.9366"
"2007_002088_GAP_(i, u, 5).png","0.9173","0.9910","35.0534","0.5856","0.9999","0.9998","0.0005","0.0071","0.9976","0.0747","0.0000"
"2007_002088_GAP_(u, t, 10).png","0.8626","0.9558","31.1327","0.4750","0.9907","0.9662","0.0473","0.0507","0.8345","0.2778","31.7254"
