"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2007_000042_OnePixel_(10, 40).png","0.9992","0.9998","50.7525","0.9959","0.9999","0.9998","0.0092","0.0083","0.9988","0.1030","18.2939"
"2007_000042_OnePixel_(100, 50).png","0.9939","0.9981","41.8939","0.9681","0.9995","0.9990","0.0210","0.0192","0.9962","0.1584","41.0226"
"2007_000042_OnePixel_(300, 80).png","0.9819","0.9956","37.4932","0.9083","0.9986","0.9966","0.0296","0.0287","0.9864","0.1929","49.5138"
"2007_000042_OnePixel_(50, 40).png","0.9969","0.9990","45.0317","0.9832","0.9998","0.9996","0.0152","0.0137","0.9983","0.1332","24.6289"
"2007_000170_OnePixel_(10, 40).png","0.9990","0.9997","50.8834","0.9925","0.9999","0.9997","0.0085","0.0080","0.9989","0.1024","9.0828"
"2007_000170_OnePixel_(100, 50).png","0.9922","0.9973","41.6346","0.9505","0.9996","0.9985","0.0239","0.0221","0.9944","0.1685","26.5539"
"2007_000170_OnePixel_(50, 40).png","0.9955","0.9983","44.1344","0.9727","0.9998","0.9992","0.0170","0.0158","0.9972","0.1428","18.8599"
"2007_000250_OnePixel_(10, 40).png","0.9992","0.9998","54.1140","0.9949","0.9999","0.9998","0.0053","0.0053","0.9996","0.0797","10.5902"
"2007_000250_OnePixel_(100, 50).png","0.9936","0.9984","44.0322","0.9543","0.9996","0.9986","0.0141","0.0143","0.9950","0.1413","38.0941"
"2007_000250_OnePixel_(50, 40).png","0.9972","0.9993","48.1688","0.9808","0.9999","0.9994","0.0079","0.0084","0.9986","0.1111","20.6126"
"2007_000346_OnePixel_(10, 40).png","0.9996","0.9999","54.7484","0.9969","1.0000","0.9999","0.0038","0.0037","0.9999","0.0743","9.0919"
"2007_000346_OnePixel_(100, 50).png","0.9946","0.9987","43.6431","0.9669","0.9997","0.9991","0.0103","0.0113","0.9969","0.1285","22.4481"
"2007_000346_OnePixel_(50, 40).png","0.9975","0.9994","46.9367","0.9861","0.9999","0.9997","0.0053","0.0062","0.9986","0.0994","15.4805"
"2007_000549_OnePixel_(10, 40).png","0.9991","0.9998","52.9858","0.9955","1.0000","0.9998","0.0071","0.0065","0.9995","0.0926","5.2752"
"2007_000549_OnePixel_(100, 50).png","0.9929","0.9978","42.6161","0.9596","0.9995","0.9987","0.0208","0.0191","0.9957","0.1608","32.7179"
