"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2007_000042_PGD_(0.05, 0.0025, 20).png","0.9337","0.9650","30.6322","0.5733","0.9938","0.9810","0.0278","0.0344","0.9269","0.2441","27.1283"
"2007_000042_PGD_(0.05, 0.005, 10).png","0.9278","0.9623","30.5267","0.5666","0.9931","0.9789","0.0317","0.0379","0.9202","0.2525","29.1556"
"2007_000042_PGD_(0.1, 0.005, 20).png","0.8207","0.9068","24.9147","0.3957","0.9790","0.9431","0.0752","0.0820","0.8108","0.3289","56.5415"
"2007_000042_PGD_(0.1, 0.01, 10).png","0.8103","0.9019","24.8296","0.3888","0.9768","0.9380","0.0834","0.0890","0.7959","0.3395","58.8285"
"2007_000042_PGD_(0.2, 0.01, 20).png","0.6466","0.8095","19.4539","0.2456","0.9404","0.8645","0.1511","0.1493","0.6346","0.4225","86.7812"
"2007_000042_PGD_(0.2, 0.02, 10).png","0.6273","0.7966","19.3095","0.2367","0.9341","0.8507","0.1646","0.1606","0.6099","0.4368","90.7070"
"2007_000042_PGD_(0.3, 0.015, 20).png","0.5227","0.7267","16.2831","0.1732","0.9035","0.7958","0.2012","0.1922","0.5251","0.4840","108.5785"
"2007_000042_PGD_(0.3, 0.03, 10).png","0.5025","0.7106","16.1591","0.1626","0.8931","0.7771","0.2141","0.2039","0.4971","0.4976","112.3893"
"2007_000170_PGD_(0.05, 0.0025, 20).png","0.8913","0.9419","30.6806","0.4359","0.9936","0.9782","0.0314","0.0376","0.9124","0.2564","30.8122"
"2007_000170_PGD_(0.05, 0.005, 10).png","0.8822","0.9376","30.5998","0.4287","0.9930","0.9749","0.0370","0.0426","0.9029","0.2675","33.0798"
"2007_000170_PGD_(0.1, 0.005, 20).png","0.7117","0.8425","24.9241","0.2575","0.9774","0.9300","0.0908","0.0947","0.7657","0.3555","63.4589"
"2007_000170_PGD_(0.1, 0.01, 10).png","0.6941","0.8315","24.8306","0.2493","0.9745","0.9189","0.1013","0.1036","0.7471","0.3681","66.5429"
"2007_000170_PGD_(0.2, 0.01, 20).png","0.4719","0.6831","19.6068","0.1366","0.9358","0.8279","0.1752","0.1685","0.5631","0.4573","100.7462"
"2007_000170_PGD_(0.2, 0.02, 10).png","0.4479","0.6605","19.4907","0.1270","0.9278","0.8100","0.1905","0.1817","0.5292","0.4739","104.4384"
"2007_000170_PGD_(0.3, 0.015, 20).png","0.3416","0.5760","16.7165","0.0887","0.8983","0.7483","0.2199","0.2066","0.4514","0.5147","119.1462"
"2007_000170_PGD_(0.3, 0.03, 10).png","0.3203","0.5528","16.5994","0.0830","0.8855","0.7246","0.2318","0.2178","0.4231","0.5295","123.4225"
"2007_000250_PGD_(0.05, 0.0025, 20).png","0.8741","0.9329","30.5990","0.3858","0.9935","0.9699","0.0349","0.0417","0.9078","0.2634","47.9926"
"2007_000250_PGD_(0.05, 0.005, 10).png","0.8646","0.9285","30.5246","0.3791","0.9928","0.9665","0.0397","0.0462","0.9001","0.2724","50.0964"
"2007_000250_PGD_(0.1, 0.005, 20).png","0.6716","0.8198","24.6754","0.2212","0.9762","0.9058","0.1022","0.1048","0.7526","0.3692","80.4112"
"2007_000250_PGD_(0.1, 0.01, 10).png","0.6557","0.8092","24.5977","0.2155","0.9735","0.8945","0.1135","0.1140","0.7357","0.3825","81.4858"
"2007_000250_PGD_(0.2, 0.01, 20).png","0.4152","0.6378","18.7640","0.1122","0.9268","0.7723","0.2024","0.1899","0.5330","0.4867","109.2237"
"2007_000250_PGD_(0.2, 0.02, 10).png","0.3958","0.6190","18.6243","0.1067","0.9176","0.7542","0.2194","0.2041","0.5032","0.5059","111.9687"
"2007_000250_PGD_(0.3, 0.015, 20).png","0.2845","0.5138","15.2873","0.0694","0.8711","0.6647","0.2606","0.2401","0.3986","0.5702","126.4982"
"2007_000250_PGD_(0.3, 0.03, 10).png","0.2703","0.4953","15.1603","0.0658","0.8603","0.6445","0.2700","0.2476","0.3813","0.5857","128.2104"
"2007_000346_PGD_(0.05, 0.0025, 20).png","0.9069","0.9501","30.6055","0.4707","0.9941","0.9815","0.0275","0.0343","0.9181","0.2436","34.1431"
"2007_000346_PGD_(0.05, 0.005, 10).png","0.9004","0.9469","30.5274","0.4641","0.9935","0.9787","0.0307","0.0373","0.9100","0.2510","36.3091"
"2007_000346_PGD_(0.1, 0.005, 20).png","0.7433","0.8610","24.7187","0.2849","0.9793","0.9404","0.0788","0.0858","0.7851","0.3350","62.6317"
"2007_000346_PGD_(0.1, 0.01, 10).png","0.7272","0.8515","24.6138","0.2766","0.9767","0.9328","0.0892","0.0942","0.7651","0.3477","65.3157"
"2007_000346_PGD_(0.2, 0.01, 20).png","0.4982","0.7030","18.8556","0.1508","0.9346","0.8456","0.1695","0.1652","0.5788","0.4452","92.2108"
"2007_000346_PGD_(0.2, 0.02, 10).png","0.4778","0.6857","18.7209","0.1433","0.9284","0.8277","0.1835","0.1767","0.5506","0.4609","96.0342"
"2007_000346_PGD_(0.3, 0.015, 20).png","0.3575","0.5861","15.4737","0.0963","0.8873","0.7568","0.2273","0.2141","0.4503","0.5205","110.8787"
"2007_000346_PGD_(0.3, 0.03, 10).png","0.3411","0.5690","15.3755","0.0902","0.8809","0.7437","0.2371","0.2233","0.4266","0.5336","115.0253"
"2007_000549_PGD_(0.05, 0.0025, 20).png","0.9058","0.9522","30.7858","0.4633","0.9940","0.9798","0.0278","0.0347","0.9181","0.2452","34.2223"
"2007_000549_PGD_(0.05, 0.005, 10).png","0.8988","0.9490","30.7089","0.4575","0.9934","0.9777","0.0319","0.0383","0.9092","0.2532","35.5264"
"2007_000549_PGD_(0.1, 0.005, 20).png","0.7441","0.8700","24.9640","0.2757","0.9799","0.9364","0.0767","0.0836","0.7784","0.3332","58.5373"
"2007_000549_PGD_(0.1, 0.01, 10).png","0.7264","0.8601","24.8519","0.2679","0.9771","0.9271","0.0862","0.0915","0.7622","0.3450","60.7088"
"2007_000549_PGD_(0.2, 0.01, 20).png","0.4910","0.7136","19.1685","0.1379","0.9377","0.8311","0.1631","0.1600","0.5633","0.4417","87.8431"
"2007_000549_PGD_(0.2, 0.02, 10).png","0.4695","0.6957","19.0293","0.1304","0.9295","0.8142","0.1758","0.1704","0.5410","0.4556","89.6501"
"2007_000549_PGD_(0.3, 0.015, 20).png","0.3389","0.5890","15.8349","0.0832","0.8933","0.7397","0.2174","0.2071","0.4365","0.5127","106.6247"
"2007_000549_PGD_(0.3, 0.03, 10).png","0.3175","0.5658","15.6910","0.0760","0.8825","0.7150","0.2310","0.2182","0.4144","0.5302","109.4910"
"2007_000876_PGD_(0.05, 0.0025, 20).png","0.8967","0.9583","30.7624","0.4843","0.9951","0.9824","0.0222","0.0294","0.9298","0.2311","26.5809"
"2007_000876_PGD_(0.05, 0.005, 10).png","0.8895","0.9557","30.6570","0.4734","0.9945","0.9799","0.0260","0.0331","0.9193","0.2404","29.0652"
"2007_000876_PGD_(0.1, 0.005, 20).png","0.7428","0.8814","24.9211","0.2899","0.9835","0.9460","0.0624","0.0728","0.8123","0.3118","54.8580"
"2007_000876_PGD_(0.1, 0.01, 10).png","0.7268","0.8736","24.7969","0.2792","0.9815","0.9396","0.0692","0.0792","0.7966","0.3218","57.5717"
"2007_000876_PGD_(0.2, 0.01, 20).png","0.4985","0.7314","19.1603","0.1504","0.9494","0.8587","0.1335","0.1381","0.6317","0.4072","86.6705"
"2007_000876_PGD_(0.2, 0.02, 10).png","0.4769","0.7148","19.0063","0.1412","0.9427","0.8430","0.1464","0.1487","0.6071","0.4197","89.5205"
"2007_000876_PGD_(0.3, 0.015, 20).png","0.3487","0.6124","15.9111","0.0947","0.9120","0.7763","0.1848","0.1808","0.5154","0.4696","106.3527"
"2007_000876_PGD_(0.3, 0.03, 10).png","0.3308","0.5926","15.7912","0.0880","0.9043","0.7587","0.1959","0.1900","0.4966","0.4819","108.8639"
"2007_002088_PGD_(0.05, 0.0025, 20).png","0.9479","0.9714","30.6638","0.5407","0.9952","0.9858","0.0183","0.0234","0.9223","0.2192","8.5025"
"2007_002088_PGD_(0.05, 0.005, 10).png","0.9437","0.9692","30.5811","0.5343","0.9947","0.9845","0.0206","0.0255","0.9140","0.2251","8.8971"
"2007_002088_PGD_(0.1, 0.005, 20).png","0.8357","0.9107","24.8354","0.3366","0.9850","0.9571","0.0514","0.0591","0.7995","0.2949","35.3197"
"2007_002088_PGD_(0.1, 0.01, 10).png","0.8213","0.9034","24.7297","0.3270","0.9832","0.9524","0.0575","0.0644","0.7784","0.3033","38.1604"
"2007_002088_PGD_(0.2, 0.01, 20).png","0.5959","0.7703","19.0833","0.1738","0.9564","0.8882","0.1123","0.1189","0.6032","0.3851","73.9054"
"2007_002088_PGD_(0.2, 0.02, 10).png","0.5710","0.7535","18.9546","0.1626","0.9517","0.8755","0.1227","0.1278","0.5821","0.3949","77.6957"
"2007_002088_PGD_(0.3, 0.015, 20).png","0.4231","0.6463","15.8188","0.1060","0.9275","0.8217","0.1569","0.1607","0.4892","0.4424","97.6077"
"2007_002088_PGD_(0.3, 0.03, 10).png","0.4009","0.6248","15.7040","0.0992","0.9206","0.8069","0.1652","0.1682","0.4710","0.4514","100.9538"
"2007_002094_PGD_(0.05, 0.0025, 20).png","0.8593","0.9244","30.6502","0.3196","0.9924","0.9672","0.0346","0.0419","0.8911","0.2633","47.9366"
"2007_002094_PGD_(0.05, 0.005, 10).png","0.8493","0.9198","30.5633","0.3102","0.9914","0.9629","0.0391","0.0464","0.8812","0.2718","49.5203"
"2007_002094_PGD_(0.1, 0.005, 20).png","0.6273","0.7939","24.7439","0.1679","0.9727","0.8960","0.0964","0.1010","0.7261","0.3614","76.0728"
"2007_002094_PGD_(0.1, 0.01, 10).png","0.6071","0.7816","24.6280","0.1610","0.9692","0.8831","0.1083","0.1104","0.7017","0.3758","77.9877"
"2007_002094_PGD_(0.2, 0.01, 20).png","0.3403","0.5873","18.8623","0.0817","0.9166","0.7427","0.1952","0.1828","0.4977","0.4766","104.8848"
"2007_002094_PGD_(0.2, 0.02, 10).png","0.3213","0.5676","18.7363","0.0760","0.9065","0.7192","0.2080","0.1938","0.4696","0.4908","107.4259"
"2007_002094_PGD_(0.3, 0.015, 20).png","0.2120","0.4580","15.5351","0.0498","0.8568","0.6228","0.2447","0.2234","0.3708","0.5462","123.0207"
"2007_002094_PGD_(0.3, 0.03, 10).png","0.1989","0.4362","15.4209","0.0455","0.8450","0.5935","0.2540","0.2338","0.3456","0.5616","126.1684"
"2007_002099_PGD_(0.05, 0.0025, 20).png","0.8781","0.9345","30.5995","0.3874","0.9925","0.9697","0.0361","0.0431","0.8985","0.2660","41.3807"
"2007_002099_PGD_(0.05, 0.005, 10).png","0.8685","0.9296","30.4938","0.3784","0.9915","0.9655","0.0419","0.0481","0.8870","0.2765","43.5403"
"2007_002099_PGD_(0.1, 0.005, 20).png","0.6825","0.8248","24.7271","0.2201","0.9722","0.9041","0.1021","0.1049","0.7323","0.3693","72.4058"
"2007_002099_PGD_(0.1, 0.01, 10).png","0.6636","0.8129","24.6238","0.2109","0.9685","0.8886","0.1161","0.1161","0.7064","0.3849","75.6227"
"2007_002099_PGD_(0.2, 0.01, 20).png","0.4337","0.6526","19.1220","0.1106","0.9173","0.7582","0.2027","0.1896","0.4989","0.4840","102.8922"
"2007_002099_PGD_(0.2, 0.02, 10).png","0.4145","0.6344","18.9928","0.1040","0.9087","0.7389","0.2148","0.2001","0.4740","0.4973","105.5923"
"2007_002099_PGD_(0.3, 0.015, 20).png","0.3093","0.5414","16.0420","0.0689","0.8693","0.6583","0.2468","0.2266","0.3865","0.5447","118.7176"
"2007_002099_PGD_(0.3, 0.03, 10).png","0.2932","0.5200","15.9429","0.0647","0.8578","0.6388","0.2569","0.2369","0.3618","0.5582","122.6703"
"2007_002293_PGD_(0.05, 0.0025, 20).png","0.9102","0.9526","30.6203","0.4946","0.9939","0.9832","0.0301","0.0372","0.9259","0.2481","35.4610"
"2007_002293_PGD_(0.05, 0.005, 10).png","0.9032","0.9494","30.5296","0.4857","0.9932","0.9805","0.0351","0.0418","0.9163","0.2584","37.7388"
"2007_002293_PGD_(0.1, 0.005, 20).png","0.7590","0.8726","24.8110","0.3116","0.9788","0.9449","0.0888","0.0942","0.7907","0.3459","64.0211"
"2007_002293_PGD_(0.1, 0.01, 10).png","0.7456","0.8653","24.7146","0.3036","0.9760","0.9387","0.0977","0.1015","0.7802","0.3569","65.5603"
"2007_002293_PGD_(0.2, 0.01, 20).png","0.5377","0.7364","19.1373","0.1709","0.9355","0.8572","0.1862","0.1776","0.5994","0.4564","92.6511"
"2007_002293_PGD_(0.2, 0.02, 10).png","0.5176","0.7215","19.0037","0.1631","0.9293","0.8449","0.1978","0.1871","0.5773","0.4689","94.3269"
"2007_002293_PGD_(0.3, 0.015, 20).png","0.4007","0.6319","15.9038","0.1130","0.8944","0.7797","0.2395","0.2233","0.4834","0.5197","109.7430"
"2007_002293_PGD_(0.3, 0.03, 10).png","0.3835","0.6156","15.7882","0.1059","0.8856","0.7654","0.2485","0.2318","0.4621","0.5308","113.7690"
"2007_002344_PGD_(0.05, 0.0025, 20).png","0.9228","0.9593","30.6751","0.5016","0.9942","0.9818","0.0265","0.0318","0.9233","0.2432","21.5802"
"2007_002344_PGD_(0.05, 0.005, 10).png","0.9176","0.9567","30.5951","0.4939","0.9937","0.9796","0.0301","0.0349","0.9150","0.2502","24.1387"
"2007_002344_PGD_(0.1, 0.005, 20).png","0.7842","0.8868","24.8994","0.3081","0.9803","0.9434","0.0721","0.0778","0.7973","0.3275","52.1839"
"2007_002344_PGD_(0.1, 0.01, 10).png","0.7684","0.8782","24.8022","0.2981","0.9780","0.9360","0.0822","0.0860","0.7764","0.3396","55.7105"
"2007_002344_PGD_(0.2, 0.01, 20).png","0.5496","0.7493","19.3261","0.1618","0.9422","0.8549","0.1453","0.1447","0.6011","0.4203","85.6349"
"2007_002344_PGD_(0.2, 0.02, 10).png","0.5255","0.7315","19.1969","0.1519","0.9357","0.8401","0.1561","0.1544","0.5766","0.4320","89.2989"
"2007_002344_PGD_(0.3, 0.015, 20).png","0.3938","0.6356","16.1521","0.1011","0.9031","0.7772","0.1877","0.1833","0.4876","0.4742","105.4064"
"2007_002344_PGD_(0.3, 0.03, 10).png","0.3689","0.6145","16.0261","0.0942","0.8931","0.7546","0.2045","0.1968","0.4625","0.4929","108.4961"
"2007_002400_PGD_(0.05, 0.0025, 20).png","0.9195","0.9571","30.5862","0.4938","0.9946","0.9843","0.0256","0.0305","0.9208","0.2392","27.5826"
"2007_002400_PGD_(0.05, 0.005, 10).png","0.9137","0.9543","30.5042","0.4856","0.9937","0.9817","0.0307","0.0347","0.9103","0.2493","29.8078"
"2007_002400_PGD_(0.1, 0.005, 20).png","0.7732","0.8782","24.6984","0.3006","0.9804","0.9485","0.0756","0.0803","0.7870","0.3286","53.4527"
"2007_002400_PGD_(0.1, 0.01, 10).png","0.7594","0.8703","24.5950","0.2910","0.9773","0.9417","0.0851","0.0883","0.7669","0.3405","55.9426"
"2007_002400_PGD_(0.2, 0.01, 20).png","0.5373","0.7290","18.8585","0.1549","0.9374","0.8613","0.1666","0.1612","0.5807","0.4376","83.6340"
"2007_002400_PGD_(0.2, 0.02, 10).png","0.5147","0.7109","18.7203","0.1452","0.9305","0.8474","0.1796","0.1725","0.5524","0.4512","86.7033"
"2007_002400_PGD_(0.3, 0.015, 20).png","0.3870","0.6091","15.5864","0.0957","0.8948","0.7830","0.2206","0.2089","0.4577","0.5039","103.4261"
"2007_002400_PGD_(0.3, 0.03, 10).png","0.3674","0.5870","15.4830","0.0885","0.8854","0.7647","0.2351","0.2216","0.4343","0.5214","107.7288"
"2007_002597_PGD_(0.05, 0.0025, 20).png","0.9251","0.9610","30.6183","0.5149","0.9943","0.9833","0.0252","0.0303","0.9284","0.2371","21.4583"
"2007_002597_PGD_(0.05, 0.005, 10).png","0.9206","0.9590","30.5544","0.5084","0.9937","0.9818","0.0283","0.0332","0.9229","0.2438","23.8774"
"2007_002597_PGD_(0.1, 0.005, 20).png","0.7918","0.8913","24.8493","0.3254","0.9805","0.9492","0.0718","0.0773","0.8132","0.3220","51.1091"
"2007_002597_PGD_(0.1, 0.01, 10).png","0.7771","0.8839","24.7345","0.3162","0.9781","0.9431","0.0808","0.0849","0.8003","0.3337","53.7796"
"2007_002597_PGD_(0.2, 0.01, 20).png","0.5650","0.7582","19.1656","0.1781","0.9421","0.8715","0.1505","0.1482","0.6364","0.4196","81.5796"
"2007_002597_PGD_(0.2, 0.02, 10).png","0.5458","0.7447","19.0435","0.1703","0.9364","0.8589","0.1597","0.1563","0.6156","0.4297","84.4365"
