"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2007_000042_Square_(2000, 0.005, 0.01).png","0.9518","0.9903","38.6035","0.8258","0.9983","0.9947","0.0145","0.0145","0.9724","0.1966","6.4328"
"2007_000042_Square_(2000, 0.005, 0.02).png","0.8833","0.9751","34.1709","0.7003","0.9952","0.9858","0.0361","0.0357","0.9292","0.2535","19.5520"
"2007_000042_Square_(2000, 0.005, 0.03).png","0.7713","0.9454","30.0979","0.5688","0.9879","0.9674","0.0741","0.0725","0.8500","0.3167","36.9267"
"2007_000042_Square_(2000, 0.01, 0.01).png","0.9518","0.9903","38.6035","0.8258","0.9983","0.9947","0.0145","0.0145","0.9724","0.1966","6.4328"
"2007_000042_Square_(2000, 0.01, 0.02).png","0.8833","0.9751","34.1709","0.7003","0.9952","0.9858","0.0361","0.0357","0.9292","0.2535","19.5520"
"2007_000042_Square_(2000, 0.01, 0.03).png","0.7728","0.9456","30.0976","0.5735","0.9879","0.9674","0.0738","0.0722","0.8492","0.3160","36.3667"
"2007_000042_Square_(2000, 0.04, 0.01).png","0.9518","0.9903","38.6035","0.8258","0.9983","0.9947","0.0145","0.0145","0.9724","0.1966","6.4328"
"2007_000042_Square_(2000, 0.04, 0.02).png","0.8833","0.9751","34.1709","0.7003","0.9952","0.9858","0.0361","0.0357","0.9292","0.2535","19.5520"
"2007_000042_Square_(2000, 0.04, 0.03).png","0.7735","0.9459","30.0969","0.5732","0.9879","0.9678","0.0740","0.0723","0.8467","0.3162","36.3001"
"2007_000042_Square_(2000, 0.08, 0.01).png","0.9518","0.9903","38.6035","0.8258","0.9983","0.9947","0.0145","0.0145","0.9724","0.1966","6.4328"
"2007_000042_Square_(2000, 0.08, 0.02).png","0.8833","0.9751","34.1709","0.7003","0.9952","0.9858","0.0361","0.0357","0.9292","0.2535","19.5520"
"2007_000042_Square_(2000, 0.08, 0.03).png","0.7766","0.9464","30.0964","0.5798","0.9879","0.9679","0.0739","0.0722","0.8427","0.3160","36.2455"
"2007_000042_Square_(2000, 0.4, 0.03).png","0.8110","0.9546","30.0996","0.6462","0.9903","0.9730","0.0667","0.0662","0.8469","0.3027","37.8278"
"2007_000042_Square_(2000, 0.4, 0.06).png","0.5627","0.8687","24.6942","0.3871","0.9621","0.9142","0.1533","0.1487","0.6778","0.4138","64.5569"
"2007_000042_Square_(2000, 0.4, 0.09).png","0.4283","0.7946","21.1930","0.2809","0.9288","0.8546","0.2104","0.2040","0.5500","0.4789","84.9491"
"2007_000042_Square_(2000, 0.4, 0.12).png","0.3445","0.7337","18.8100","0.2169","0.8988","0.8078","0.2466","0.2395","0.4677","0.5261","99.0901"
"2007_000042_Square_(2000, 0.6, 0.03).png","0.8389","0.9617","30.0926","0.6882","0.9897","0.9751","0.0646","0.0635","0.8229","0.2944","33.2153"
"2007_000042_Square_(2000, 0.8, 0.03).png","0.8141","0.9543","30.1034","0.6463","0.9893","0.9742","0.0667","0.0658","0.8509","0.3002","34.4124"
"2007_000170_Square_(2000, 0.005, 0.01).png","0.9343","0.9841","38.6149","0.7438","0.9983","0.9927","0.0159","0.0156","0.9615","0.2061","8.0358"
"2007_000170_Square_(2000, 0.005, 0.02).png","0.8445","0.9593","34.1888","0.5865","0.9952","0.9808","0.0396","0.0383","0.9046","0.2650","21.6523"
"2007_000170_Square_(2000, 0.005, 0.03).png","0.7018","0.9097","30.1259","0.4330","0.9879","0.9559","0.0825","0.0792","0.8030","0.3332","40.5503"
