file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi,mad
"2007_000042_NES-pi_(0.1,20,0.001).png",0.6586,0.8822,25.7518,0.4287,0.9647,0.909,0.1135,0.1088,0.7187,0.3768,75.6308
"2007_000042_NES-pi_(0.2,20,0.001).png",0.8449,0.9558,32.3694,0.6277,0.9891,0.9682,0.0469,0.046,0.8824,0.2836,30.9337
"2007_000042_NES-pi_(0.3,20,0.001).png",0.6591,0.8831,25.7348,0.4318,0.9662,0.9098,0.1091,0.1052,0.7218,0.3721,71.8215
"2007_000042_NES-ql_(0.001,0.05,0.9,10000).png",0.8604,0.9612,33.057,0.6492,0.9905,0.9714,0.0421,0.0412,0.8952,0.2749,26.5812
"2007_000042_NES-ql_(0.001,0.1,0.9,1000).png",0.6094,0.8643,25.679,0.3992,0.9566,0.892,0.1298,0.1235,0.6813,0.3968,65.8775
"2007_000042_NES-ql_(1e-05,0.05,0.9,1000).png",0.8065,0.944,31.1631,0.5859,0.9855,0.9588,0.0586,0.0572,0.853,0.3044,35.815
"2007_000170_NES-pi_(0.1,20,0.001).png",0.1268,0.3646,10.3879,0.0571,0.801,0.5872,0.2658,0.2569,0.2662,0.5982,173.2196
"2007_000170_NES-pi_(0.2,20,0.001).png",0.7792,0.9192,32.1779,0.4871,0.9883,0.9597,0.0546,0.0528,0.8517,0.302,34.3099
"2007_000170_NES-pi_(0.3,20,0.001).png",0.5258,0.7856,26.0944,0.2765,0.9593,0.8803,0.1339,0.126,0.6512,0.408,72.3588
"2007_000170_NES-ql_(0.001,0.05,0.9,10000).png",0.8087,0.9317,33.0591,0.5224,0.9904,0.9665,0.0469,0.0455,0.8746,0.2883,30.0253
"2007_000170_NES-ql_(0.001,0.1,0.9,1000).png",0.4685,0.7498,25.3448,0.2459,0.9485,0.8568,0.1571,0.1471,0.5996,0.4353,76.014
"2007_000170_NES-ql_(1e-05,0.05,0.9,1000).png",0.7334,0.9001,31.0889,0.4429,0.985,0.9497,0.067,0.0642,0.8225,0.3223,39.2362
"2007_000250_NES-pi_(0.1,20,0.001).png",0.4893,0.762,26.2313,0.2419,0.9584,0.8477,0.148,0.1381,0.6428,0.4234,88.518
"2007_000250_NES-pi_(0.2,20,0.001).png",0.7489,0.9055,31.9277,0.4291,0.9879,0.9434,0.0613,0.0593,0.8448,0.313,54.7624
"2007_000250_NES-pi_(0.3,20,0.001).png",0.4765,0.7555,26.0153,0.2345,0.956,0.8419,0.1523,0.1422,0.6319,0.4286,89.5213
"2007_000250_NES-ql_(0.001,0.05,0.9,10000).png",0.7582,0.9101,32.3051,0.4402,0.9884,0.9471,0.0591,0.057,0.8523,0.3102,50.9232
"2007_000250_NES-ql_(0.001,0.1,0.9,1000).png",0.4123,0.7103,24.7717,0.2028,0.9415,0.8074,0.1787,0.1655,0.5792,0.458,93.7821
"2007_000250_NES-ql_(1e-05,0.05,0.9,1000).png",0.6959,0.8822,30.8412,0.3871,0.984,0.9295,0.0762,0.0729,0.8108,0.3358,59.0201
"2007_000346_NES-pi_(0.1,20,0.001).png",0.5559,0.8131,26.1879,0.308,0.9627,0.8992,0.1218,0.1165,0.6787,0.3881,71.5901
"2007_000346_NES-pi_(0.2,20,0.001).png",0.8136,0.9366,32.5207,0.5364,0.9899,0.9682,0.0446,0.0445,0.8739,0.2809,36.3837
"2007_000346_NES-pi_(0.3,20,0.001).png",0.5298,0.799,25.6172,0.2901,0.9577,0.8893,0.1313,0.1253,0.6541,0.3989,74.3697
"2007_000346_NES-ql_(0.001,0.05,0.9,10000).png",0.8284,0.9425,32.9954,0.5582,0.991,0.9715,0.0404,0.0404,0.884,0.2731,33.8569
"2007_000346_NES-ql_(0.001,0.1,0.9,1000).png",0.5027,0.783,25.2291,0.2762,0.953,0.8775,0.1421,0.135,0.6339,0.4116,73.5825
