file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi,mad
"2007_000042_GAP_(i, u, 10).png",0.73308676,0.9457261,29.833271000000003,0.48788735,0.9992568000000002,0.9963704,0.01123887,0.060951367,0.81474906,0.16699755,38.69680234204787
"2007_000042_GAP_(i, u, 20).png",0.50063497,0.8697536,23.77615,0.333803,0.9976413000000001,0.99025255,0.024783677999999996,0.09510126,0.6891616,0.23811291,63.47081614007447
"2007_000042_GAP_(i, u, 30).png",0.42552137,0.8672576,20.66678,0.30855852,0.98362046,0.9666046999999999,0.021322485,0.09386742,0.53722674,0.37993509999999997,71.66897774749393
"2007_000042_GAP_(i, u, 5).png",0.8859447,0.9875556999999999,35.133423,0.6187323,0.99996585,0.99985904,0.0005195575,0.009763097,0.9978690999999998,0.07582896,3.557228839666372
"2007_000042_GAP_(u, t, 10).png",0.8247938,0.9497327,31.116515999999997,0.5179484999999999,0.98677266,0.9521311,0.07297708,0.07352706,0.837678,0.32072315,50.35537015204146
"2007_000042_GAP_(u, t, 20).png",0.60350084,0.85004586,24.473951,0.29944640000000006,0.9451411,0.85582626,0.17979403,0.17742467,0.59715813,0.44503337,92.25664265927888
"2007_000042_GAP_(u, t, 30).png",0.49814308,0.80775183,21.52894,0.24146587,0.93395466,0.81848764,0.2088589,0.20521878,0.518462,0.4781152,106.68126714829776
"2007_000042_GAP_(u, t, 5).png",0.94241345,0.9864046000000001,36.748478000000006,0.7271342,0.99650663,0.98735386,0.02305804,0.02399767,0.9521205,0.22544445,20.119200827573184
"2007_000170_GAP_(i, u, 10).png",0.6356430000000001,0.9195124,29.625284000000004,0.33393773,0.99937963,0.9984506,0.0034011842,0.06221189,0.77438354,0.13960354,41.44368026491097
"2007_000170_GAP_(i, u, 20).png",0.35321528,0.7870374,23.549507000000002,0.21765508,0.99723655,0.9870349,0.021900872000000002,0.08845574,0.66119206,0.24965107,66.59496086857543
"2007_000170_GAP_(i, u, 30).png",0.27934440000000005,0.796642,19.91779,0.21224992,0.97262007,0.95324475,0.022576926,0.08386743,0.39820123,0.39364758,78.44050673139789
"2007_000170_GAP_(i, u, 5).png",0.8422898000000001,0.9805388,35.096985,0.48679229999999996,0.9999447,0.9998372999999999,0.00042299074,0.010137918000000001,0.9979446,0.07279779,5.719701138064957
"2007_000170_GAP_(u, t, 10).png",0.75872064,0.90776443,31.137420000000002,0.3747394,0.9869549000000001,0.9398347,0.083176,0.08335748,0.7929096999999999,0.34032690000000004,51.86902422658098
"2007_000170_GAP_(u, t, 20).png",0.48064607,0.7369815,24.500335999999997,0.17546663,0.9431552,0.81716025,0.19902897,0.1958115,0.5144329000000001,0.47298473,98.50501664326401
"2007_000170_GAP_(u, t, 30).png",0.35542340000000006,0.66827047,21.513624,0.1319156,0.93087673,0.7666476,0.22631022,0.22280082,0.4294332,0.50809294,114.06941498138426
"2007_000170_GAP_(u, t, 5).png",0.9182370000000001,0.9746746999999999,36.763535,0.6159260999999999,0.99660987,0.9840787,0.02633807,0.027187549,0.94063663,0.23718499,21.013490549166796
"2007_000250_GAP_(i, u, 10).png",0.59446454,0.9038530999999999,29.404304999999997,0.29669392,0.99951494,0.99720937,0.013718122,0.06474563,0.7558971,0.16703406,52.700990485760045
"2007_000250_GAP_(i, u, 20).png",0.33881733,0.78279346,23.796598,0.18170613,0.99841064,0.99216646,0.019500788,0.08485982,0.6269598000000001,0.20930484,73.83610774235406
"2007_000250_GAP_(i, u, 30).png",0.24524419,0.7609123999999999,20.509659,0.15034027,0.989728,0.98263556,0.023130832,0.07982061,0.7269189,0.28576365,68.26318896355023
"2007_000250_GAP_(i, u, 5).png",0.82104844,0.9774183000000001,35.056346999999995,0.43887466,0.9999713,0.99988765,0.0005361130000000001,0.010682675,0.998558,0.070308015,0.9220170382781852
"2007_000250_GAP_(u, t, 10).png",0.7351316,0.89110726,31.094078000000003,0.33375558,0.98663825,0.92116785,0.09314715,0.09260495,0.783313,0.35464520000000005,76.77559031799
"2007_000250_GAP_(u, t, 20).png",0.4593893,0.7067895000000001,24.38389,0.15103722,0.94048184,0.7747353,0.21503848,0.21069834,0.49796578,0.48989269999999996,117.0989557302282
"2007_000250_GAP_(u, t, 30).png",0.33802658,0.63054204,21.30376,0.11386734,0.92803144,0.7141422,0.24714783,0.24168912,0.40948212,0.52936745,130.24692280188862
"2007_000250_GAP_(u, t, 5).png",0.90741026,0.96899104,36.732677,0.5665735,0.9966335999999999,0.97874975,0.030000111,0.030825099999999998,0.93663746,0.24687845,42.791506272662915
"2007_000346_GAP_(i, u, 10).png",0.6585288,0.9257734000000001,29.458134,0.3702376,0.99935097,0.99618953,0.013159316,0.06084306,0.7817979,0.16778652,40.22007153209619
"2007_000346_GAP_(i, u, 20).png",0.40761217,0.82628953,23.877998,0.23812701,0.9979621999999999,0.98915213,0.0248667,0.088178165,0.65939796,0.22527339,61.882979730114734
"2007_000346_GAP_(i, u, 30).png",0.31225917,0.80410254,20.429325,0.20888802,0.97985417,0.9765434999999999,0.017299287,0.08324324,0.5849403000000001,0.34531143,63.00369848836712
"2007_000346_GAP_(i, u, 5).png",0.8597362,0.98340106,35.146954,0.5255699,0.9999538,0.9998030000000001,0.0005342849,0.009335226,0.99762475,0.07945109,0.0
"2007_000346_GAP_(u, t, 10).png",0.7843732,0.91993445,31.105535999999997,0.41021850000000004,0.9881273000000002,0.95268744,0.07232649599999999,0.0738909,0.8163979,0.32078665,59.858926767218705
"2007_000346_GAP_(u, t, 20).png",0.5241520000000001,0.76996315,24.418705,0.19639856,0.9476201999999999,0.8420977,0.18030035,0.17965820000000002,0.5575675,0.44610852,98.26205926940736
"2007_000346_GAP_(u, t, 30).png",0.40037829999999996,0.70684975,21.358194,0.14809078,0.9369605999999999,0.79754376,0.21236348,0.21083401,0.47115028,0.48458204,112.41095235422593
"2007_000346_GAP_(u, t, 5).png",0.92816514,0.9777698,36.747040000000005,0.65051955,0.9968214,0.9876367,0.02359073,0.024845961,0.94664127,0.22804466,29.695111829306867
"2007_000549_GAP_(i, u, 10).png",0.669081,0.9265280999999999,29.532478,0.35545376,0.99927837,0.99740535,0.009124278000000001,0.06445079,0.7802207,0.15518473,41.14828306533843
"2007_000549_GAP_(i, u, 20).png",0.42508559999999995,0.8271438,23.945877,0.22401714,0.99771607,0.98918945,0.022514941,0.089954175,0.65726984,0.24168286,61.95683188584294
"2007_000549_GAP_(i, u, 30).png",0.33064663,0.80496305,20.505523999999998,0.19787796,0.98368746,0.975799,0.029363438,0.0868089,0.6401738,0.34446928,69.31129203226105
"2007_000549_GAP_(i, u, 5).png",0.85988486,0.98306847,35.061882000000004,0.50776196,0.99996394,0.99983746,0.0006374919,0.010499927,0.9987485999999999,0.077934235,0.0
"2007_000549_GAP_(u, t, 10).png",0.78194106,0.92031616,31.137579,0.39880735,0.98574793,0.94641805,0.08154127,0.081728704,0.8060706999999999,0.33341634,56.61080626494531
"2007_000549_GAP_(u, t, 20).png",0.5343098000000001,0.77413845,24.509575,0.18607205,0.9467409999999999,0.83152795,0.18139055,0.17998101,0.5514121,0.45176163,92.53398060345512
"2007_000549_GAP_(u, t, 30).png",0.4108544,0.70703113,21.443924,0.13668275,0.9322991,0.7822029,0.21491782,0.21291803,0.45600095,0.49484953,105.43382760674773
